ASV	Kingdom	Phylum	Class	Order	Family	Genus	Species	Confidence
fASV155	Fungi	Ascomycota	Sordariomycetes	Hypocreales	NA	NA	NA	0.8265995
fASV157	Fungi	Ascomycota	Sordariomycetes	Hypocreales	Nectriaceae	Nectria	unidentified	0.7151976
fASV158	Fungi	Mortierellomycota	Mortierellomycetes	Mortierellales	Mortierellaceae	Mortierella	NA	0.9967205
fASV159	Fungi	Ascomycota	Sordariomycetes	Sordariales	NA	NA	NA	0.7139685
fASV16	Fungi	Ascomycota	Sordariomycetes	Hypocreales	Hypocreaceae	Trichoderma	Trichoderma_virilente	0.9906714
fASV160	Fungi	Ascomycota	Dothideomycetes	Pleosporales	NA	NA	NA	0.8770493
fASV162	Fungi	Ascomycota	Eurotiomycetes	Eurotiales	Aspergillaceae	Penicillium	Penicillium_bialowiezense	0.8243591
fASV163	Fungi	Mortierellomycota	Mortierellomycetes	Mortierellales	Mortierellaceae	Mortierella	Mortierella_minutissima	0.9781384
fASV165	Fungi	Zoopagomycota	Zoopagomycetes	Zoopagales	Piptocephalidaceae	Syncephalis	unidentified	0.9806189
fASV166	Fungi	Ascomycota	Sordariomycetes	Hypocreales	Hypocreales_fam_Incertae_sedis	NA	NA	0.9998592
fASV167	Fungi	Ascomycota	Sordariomycetes	Hypocreales	Bionectriaceae	Clonostachys	unidentified	0.79796
fASV17	Fungi	Ascomycota	Eurotiomycetes	Eurotiales	Aspergillaceae	Penicillium	NA	0.9989881
fASV170	Fungi	Ascomycota	Leotiomycetes	Thelebolales	Pseudeurotiaceae	Pseudogymnoascus	NA	0.9008878
fASV173	Fungi	Ascomycota	Sordariomycetes	Hypocreales	Bionectriaceae	Valsonectria	Valsonectria_simpsonii	0.9991602
fASV175	Fungi	Ascomycota	Leotiomycetes	Helotiales	Helotiaceae	Tetracladium	Tetracladium_setigerum	0.9530748
fASV176	Fungi	Ascomycota	Sordariomycetes	Xylariales	Bartaliniaceae	Truncatella	Truncatella_angustata	0.8521151
fASV178	Fungi	Basidiomycota	Microbotryomycetes	Microbotryomycetes_ord_Incertae_sedis	Chrysozymaceae	Udeniozyma	Udeniozyma_ferulica	0.9996322
fASV18	Fungi	Ascomycota	Sordariomycetes	Hypocreales	Hypocreales_fam_Incertae_sedis	Emericellopsis	unidentified	0.9748486
fASV180	Fungi	Ascomycota	Sordariomycetes	Sordariales	Lasiosphaeriaceae	Schizothecium	NA	0.9210589
fASV183	Fungi	Basidiomycota	Agaricomycetes	Agaricales	Strophariaceae	Tubaria	Tubaria_furfuracea	0.8954375
fASV185	Fungi	Ascomycota	Dothideomycetes	Pleosporales	Thyridariaceae	NA	NA	0.9590263
fASV186	Fungi	Ascomycota	Sordariomycetes	NA	NA	NA	NA	0.8930051
fASV187	Fungi	Zoopagomycota	Zoopagomycetes	Zoopagales	Piptocephalidaceae	Syncephalis	unidentified	0.9924361
fASV189	Fungi	Ascomycota	Sordariomycetes	Hypocreales	Nectriaceae	Fusarium	Fusarium_fujikuroi	0.9358577
fASV19	Fungi	Ascomycota	Sordariomycetes	Xylariales	NA	NA	NA	0.7381163
fASV191	Fungi	Ascomycota	Leotiomycetes	Helotiales	Helotiaceae	Tetracladium	Tetracladium_setigerum	0.748021
fASV192	Fungi	Ascomycota	Sordariomycetes	Hypocreales	Hypocreaceae	Trichoderma	Trichoderma_stromaticum	0.931643
fASV194	Fungi	Ascomycota	Sordariomycetes	Hypocreales	Nectriaceae	Fusarium	Fusarium_solani	0.8987972
fASV196	Fungi	Ascomycota	Sordariomycetes	Microascales	Microascaceae	Cephalotrichum	Cephalotrichum_asperulum	0.9784768
fASV197	Fungi	Ascomycota	Sordariomycetes	Togniniales	Togniniaceae	Phaeoacremonium	unidentified	0.8926227
