ASV	Kingdom	Phylum	Class	Order	Family	Genus	Species	Confidence
fASV300	Fungi	Ascomycota	Sordariomycetes	Sordariales	Lasiosphaeriaceae	Schizothecium	Schizothecium_carpinicola	0.7712207
fASV301	Fungi	Ascomycota	Sordariomycetes	Sordariales	Sordariales_fam_Incertae_sedis	Remersonia	Remersonia_thermophila	0.8907507
fASV305	Fungi	Ascomycota	Sordariomycetes	Hypocreales	Niessliaceae	Niesslia	Niesslia_subiculosa	0.7617895
fASV31	Fungi	Basidiomycota	Agaricomycetes	Agaricales	Entolomataceae	Clitopilus	unidentified	0.982962
fASV310	Fungi	Mortierellomycota	Mortierellomycetes	Mortierellales	Mortierellaceae	Mortierella	NA	0.8433231
fASV311	Fungi	Ascomycota	Sordariomycetes	Chaetosphaeriales	Chaetosphaeriaceae	Chaetosphaeria	unidentified	0.7130627
fASV316	Fungi	Ascomycota	Sordariomycetes	Sordariales	Sordariaceae	Gelasinospora	Gelasinospora_cratophora	0.9552578
fASV318	Fungi	Ascomycota	Sordariomycetes	Glomerellales	Glomerellaceae	Colletotrichum	Colletotrichum_coccodes	0.9969642
fASV319	Fungi	Ascomycota	Leotiomycetes	Helotiales	Myxotrichaceae	unidentified	unidentified	0.9142394
fASV32	Fungi	Ascomycota	Sordariomycetes	Hypocreales	Hypocreaceae	Trichoderma	NA	0.9938689
fASV320	Fungi	Ascomycota	Eurotiomycetes	Eurotiales	Aspergillaceae	Penicillium	NA	0.9997244
fASV322	Fungi	Ascomycota	Sordariomycetes	Hypocreales	Bionectriaceae	Gliomastix	Gliomastix_murorum	0.9989219
fASV323	Fungi	Ascomycota	Dothideomycetes	Capnodiales	Mycosphaerellaceae	Mycosphaerella	Mycosphaerella_tassiana	0.9934846
fASV325	Fungi	Mortierellomycota	Mortierellomycetes	Mortierellales	Mortierellaceae	Mortierella	NA	0.8673879
fASV327	Fungi	Zoopagomycota	Zoopagomycetes	Zoopagales	Piptocephalidaceae	Syncephalis	unidentified	0.9999277
fASV329	Fungi	Ascomycota	Dothideomycetes	Pleosporales	Phaeosphaeriaceae	Ophiosphaerella	Ophiosphaerella_aquatica	0.7355969
fASV33	Fungi	Ascomycota	Sordariomycetes	Hypocreales	Nectriaceae	Fusicolla	Fusicolla_septimanifiniscientiae	0.9629655
fASV331	Fungi	unidentified	unidentified	unidentified	unidentified	unidentified	unidentified	0.7523536
fASV332	Fungi	Ascomycota	Eurotiomycetes	Onygenales	Gymnoascaceae	Leucothecium	Leucothecium_emdenii	1
fASV337	Fungi	Monoblepharomycota	Sanchytriomycetes	Sanchytriales	Sanchytriaceae	unidentified	unidentified	0.984131
fASV339	Fungi	Ascomycota	Sordariomycetes	Sordariales	Lasiosphaeriaceae	Schizothecium	Schizothecium_carpinicola	0.7641248
fASV34	Fungi	Ascomycota	Sordariomycetes	NA	NA	NA	NA	0.7312704
fASV349	Fungi	Ascomycota	Sordariomycetes	Hypocreales	Hypocreaceae	Trichoderma	Trichoderma_aerugineum	0.7040809
fASV35	Fungi	Ascomycota	Eurotiomycetes	Chaetothyriales	Herpotrichiellaceae	Exophiala	Exophiala_equina	0.999991
fASV359	Fungi	Ascomycota	Sordariomycetes	Hypocreales	Nectriaceae	Volutella	Volutella_ciliata	0.9999995
fASV36	Fungi	Ascomycota	Sordariomycetes	Myrmecridiales	Myrmecridiaceae	Myrmecridium	NA	0.9999995
fASV360	Fungi	Ascomycota	Sordariomycetes	Hypocreales	Nectriaceae	NA	NA	0.999501
fASV367	Fungi	Basidiomycota	Tremellomycetes	Cystofilobasidiales	Mrakiaceae	Tausonia	Tausonia_pullulans	1
fASV37	Fungi	Basidiomycota	Agaricomycetes	Cantharellales	Ceratobasidiaceae	Waitea	Waitea_circinata	0.9805852
fASV371	Fungi	Ascomycota	Leotiomycetes	Helotiales	Hyaloscyphaceae	Ciliolarina	Ciliolarina_pinicola	0.9691711
fASV374	Fungi	Basidiomycota	Agaricomycetes	Geastrales	Geastraceae	Geastrum	Geastrum_floriforme	0.9999999
fASV375	Fungi	Ascomycota	Leotiomycetes	Thelebolales	Pseudeurotiaceae	Pseudeurotium	NA	0.7958616
