"Group.1"	"Sample"	"value"	"SampleID"	"Genotype"	"Germplasm"	"Treatment"	"Compartment"	"Block"	"Plot"
"2.15"	"Pseudonocardiales"	"CK_R1_2"	0.008901784	"CK_R1_2"	"X1"	"Landrace"	"CK"	"Root"	2	"P11"
"2.16"	"Microtrichales"	"CK_R1_2"	0.014737397	"CK_R1_2"	"X1"	"Landrace"	"CK"	"Root"	2	"P11"
"2.17"	"Micrococcales"	"CK_R1_2"	0.007418153	"CK_R1_2"	"X1"	"Landrace"	"CK"	"Root"	2	"P11"
"2.18"	"Chitinophagales"	"CK_R1_2"	0.005308101	"CK_R1_2"	"X1"	"Landrace"	"CK"	"Root"	2	"P11"
"2.19"	"Gemmatimonadales"	"CK_R1_2"	0.011967954	"CK_R1_2"	"X1"	"Landrace"	"CK"	"Root"	2	"P11"
"2.20"	"Sphingomonadales"	"CK_R1_2"	0.013847219	"CK_R1_2"	"X1"	"Landrace"	"CK"	"Root"	2	"P11"
"2.21"	"Clostridia"	"CK_R1_2"	0.014143945	"CK_R1_2"	"X1"	"Landrace"	"CK"	"Root"	2	"P11"
"2.22"	"Bryobacterales"	"CK_R1_2"	0.04665194	"CK_R1_2"	"X1"	"Landrace"	"CK"	"Root"	2	"P11"
"2.23"	"Vicinamibacterales"	"CK_R1_2"	0.028848373	"CK_R1_2"	"X1"	"Landrace"	"CK"	"Root"	2	"P11"
"2.24"	"Bacillales"	"CK_R1_2"	0.06659853	"CK_R1_2"	"X1"	"Landrace"	"CK"	"Root"	2	"P11"
"2.25"	"Gaiellales"	"CK_R1_2"	0.046091458	"CK_R1_2"	"X1"	"Landrace"	"CK"	"Root"	2	"P11"
"2.26"	"Rhizobiales"	"CK_R1_2"	0.103920082	"CK_R1_2"	"X1"	"Landrace"	"CK"	"Root"	2	"P11"
"2.27"	"Burkholderiales"	"CK_R1_2"	0.252909564	"CK_R1_2"	"X1"	"Landrace"	"CK"	"Root"	2	"P11"
"2.28"	"Pyrinomonadales"	"CK_R1_2"	0.255613069	"CK_R1_2"	"X1"	"Landrace"	"CK"	"Root"	2	"P11"
"3"	"<0.5%"	"CK_R1_3"	0.028212122	"CK_R1_3"	"X1"	"Landrace"	"CK"	"Root"	3	"P11"
"3.1"	"Chthoniobacterales"	"CK_R1_3"	0.011534698	"CK_R1_3"	"X1"	"Landrace"	"CK"	"Root"	3	"P11"
"3.2"	"Dongiales"	"CK_R1_3"	0.006600179	"CK_R1_3"	"X1"	"Landrace"	"CK"	"Root"	3	"P11"
"3.3"	"Steroidobacterales"	"CK_R1_3"	0.006808387	"CK_R1_3"	"X1"	"Landrace"	"CK"	"Root"	3	"P11"
"3.4"	"Paenibacillales"	"CK_R1_3"	0.024089613	"CK_R1_3"	"X1"	"Landrace"	"CK"	"Root"	3	"P11"
"3.5"	"Solirubrobacterales"	"CK_R1_3"	0.026275792	"CK_R1_3"	"X1"	"Landrace"	"CK"	"Root"	3	"P11"
"3.6"	"Xanthomonadales"	"CK_R1_3"	0.012742302	"CK_R1_3"	"X1"	"Landrace"	"CK"	"Root"	3	"P11"
"3.7"	"Propionibacteriales"	"CK_R1_3"	0.035478565	"CK_R1_3"	"X1"	"Landrace"	"CK"	"Root"	3	"P11"
"3.8"	"Pseudomonadales"	"CK_R1_3"	0.005434217	"CK_R1_3"	"X1"	"Landrace"	"CK"	"Root"	3	"P11"
"3.9"	"Chloroflexales"	"CK_R1_3"	0.006954132	"CK_R1_3"	"X1"	"Landrace"	"CK"	"Root"	3	"P11"
