"Group.1"	"Sample"	"value"	"SampleID"	"Genotype"	"Germplasm"	"Treatment"	"Compartment"	"Block"	"Plot"
"50.24"	"Bacillales"	"CK_R113_2"	0.042431919	"CK_R113_2"	"X113"	"Hybrid"	"CK"	"Root"	2	"P05"
"50.25"	"Gaiellales"	"CK_R113_2"	0.073210893	"CK_R113_2"	"X113"	"Hybrid"	"CK"	"Root"	2	"P05"
"50.26"	"Rhizobiales"	"CK_R113_2"	0.121469284	"CK_R113_2"	"X113"	"Hybrid"	"CK"	"Root"	2	"P05"
"50.27"	"Burkholderiales"	"CK_R113_2"	0.108043065	"CK_R113_2"	"X113"	"Hybrid"	"CK"	"Root"	2	"P05"
"50.28"	"Pyrinomonadales"	"CK_R113_2"	0.210259658	"CK_R113_2"	"X113"	"Hybrid"	"CK"	"Root"	2	"P05"
"51"	"<0.5%"	"CK_R113_3"	0.026667652	"CK_R113_3"	"X113"	"Hybrid"	"CK"	"Root"	3	"P05"
"51.1"	"Chthoniobacterales"	"CK_R113_3"	0.00687006	"CK_R113_3"	"X113"	"Hybrid"	"CK"	"Root"	3	"P05"
"51.2"	"Dongiales"	"CK_R113_3"	0.001034203	"CK_R113_3"	"X113"	"Hybrid"	"CK"	"Root"	3	"P05"
"51.3"	"Steroidobacterales"	"CK_R113_3"	0.003102608	"CK_R113_3"	"X113"	"Hybrid"	"CK"	"Root"	3	"P05"
"51.4"	"Paenibacillales"	"CK_R113_3"	0.007904262	"CK_R113_3"	"X113"	"Hybrid"	"CK"	"Root"	3	"P05"
"51.5"	"Solirubrobacterales"	"CK_R113_3"	0.006352959	"CK_R113_3"	"X113"	"Hybrid"	"CK"	"Root"	3	"P05"
"51.6"	"Xanthomonadales"	"CK_R113_3"	0.004653912	"CK_R113_3"	"X113"	"Hybrid"	"CK"	"Root"	3	"P05"
"51.7"	"Propionibacteriales"	"CK_R113_3"	0.001255817	"CK_R113_3"	"X113"	"Hybrid"	"CK"	"Root"	3	"P05"
"51.8"	"Pseudomonadales"	"CK_R113_3"	0.005097141	"CK_R113_3"	"X113"	"Hybrid"	"CK"	"Root"	3	"P05"
"51.9"	"Chloroflexales"	"CK_R113_3"	0.008938465	"CK_R113_3"	"X113"	"Hybrid"	"CK"	"Root"	3	"P05"
"51.10"	"Frankiales"	"CK_R113_3"	0.00273325	"CK_R113_3"	"X113"	"Hybrid"	"CK"	"Root"	3	"P05"
"51.11"	"Polyangiales"	"CK_R113_3"	0.003324223	"CK_R113_3"	"X113"	"Hybrid"	"CK"	"Root"	3	"P05"
"51.12"	"Corynebacteriales"	"CK_R113_3"	0.002954864	"CK_R113_3"	"X113"	"Hybrid"	"CK"	"Root"	3	"P05"
"51.13"	"Gammaproteobacteria_Incertae_Sedis"	"CK_R113_3"	0.00827362	"CK_R113_3"	"X113"	"Hybrid"	"CK"	"Root"	3	"P05"
"51.14"	"KD4-96"	"CK_R113_3"	0.008790722	"CK_R113_3"	"X113"	"Hybrid"	"CK"	"Root"	3	"P05"
"51.15"	"Pseudonocardiales"	"CK_R113_3"	0.00184679	"CK_R113_3"	"X113"	"Hybrid"	"CK"	"Root"	3	"P05"
"51.16"	"Microtrichales"	"CK_R113_3"	0.002659378	"CK_R113_3"	"X113"	"Hybrid"	"CK"	"Root"	3	"P05"
"51.17"	"Micrococcales"	"CK_R113_3"	0.004875526	"CK_R113_3"	"X113"	"Hybrid"	"CK"	"Root"	3	"P05"
"51.18"	"Chitinophagales"	"CK_R113_3"	0.007608776	"CK_R113_3"	"X113"	"Hybrid"	"CK"	"Root"	3	"P05"
"51.19"	"Gemmatimonadales"	"CK_R113_3"	0.014404964	"CK_R113_3"	"X113"	"Hybrid"	"CK"	"Root"	3	"P05"
"51.20"	"Sphingomonadales"	"CK_R113_3"	0.026002807	"CK_R113_3"	"X113"	"Hybrid"	"CK"	"Root"	3	"P05"
"51.21"	"Clostridia"	"CK_R113_3"	0.035679988	"CK_R113_3"	"X113"	"Hybrid"	"CK"	"Root"	3	"P05"
"51.22"	"Bryobacterales"	"CK_R113_3"	0.0288838	"CK_R113_3"	"X113"	"Hybrid"	"CK"	"Root"	3	"P05"
"51.23"	"Vicinamibacterales"	"CK_R113_3"	0.021939869	"CK_R113_3"	"X113"	"Hybrid"	"CK"	"Root"	3	"P05"
"51.24"	"Bacillales"	"CK_R113_3"	0.101130236	"CK_R113_3"	"X113"	"Hybrid"	"CK"	"Root"	3	"P05"
"51.25"	"Gaiellales"	"CK_R113_3"	0.070104159	"CK_R113_3"	"X113"	"Hybrid"	"CK"	"Root"	3	"P05"
"51.26"	"Rhizobiales"	"CK_R113_3"	0.118416193	"CK_R113_3"	"X113"	"Hybrid"	"CK"	"Root"	3	"P05"
"51.27"	"Burkholderiales"	"CK_R113_3"	0.065007018	"CK_R113_3"	"X113"	"Hybrid"	"CK"	"Root"	3	"P05"
"51.28"	"Pyrinomonadales"	"CK_R113_3"	0.363743813	"CK_R113_3"	"X113"	"Hybrid"	"CK"	"Root"	3	"P05"
"52"	"<0.5%"	"CK_R114_1"	0.007136557	"CK_R114_1"	"X114"	"Hybrid"	"CK"	"Root"	1	"P14"
"52.1"	"Chthoniobacterales"	"CK_R114_1"	0.002084837	"CK_R114_1"	"X114"	"Hybrid"	"CK"	"Root"	1	"P14"
"52.2"	"Dongiales"	"CK_R114_1"	0	"CK_R114_1"	"X114"	"Hybrid"	"CK"	"Root"	1	"P14"
"52.3"	"Steroidobacterales"	"CK_R114_1"	0.007617673	"CK_R114_1"	"X114"	"Hybrid"	"CK"	"Root"	1	"P14"
"52.4"	"Paenibacillales"	"CK_R114_1"	0.000882046	"CK_R114_1"	"X114"	"Hybrid"	"CK"	"Root"	1	"P14"
"52.5"	"Solirubrobacterales"	"CK_R114_1"	0.00384893	"CK_R114_1"	"X114"	"Hybrid"	"CK"	"Root"	1	"P14"
"52.6"	"Xanthomonadales"	"CK_R114_1"	0.003207441	"CK_R114_1"	"X114"	"Hybrid"	"CK"	"Root"	1	"P14"
"52.7"	"Propionibacteriales"	"CK_R114_1"	0.012428835	"CK_R114_1"	"X114"	"Hybrid"	"CK"	"Root"	1	"P14"
"52.8"	"Pseudomonadales"	"CK_R114_1"	0.008018603	"CK_R114_1"	"X114"	"Hybrid"	"CK"	"Root"	1	"P14"
"52.9"	"Chloroflexales"	"CK_R114_1"	0.001443349	"CK_R114_1"	"X114"	"Hybrid"	"CK"	"Root"	1	"P14"
"52.10"	"Frankiales"	"CK_R114_1"	0.003127255	"CK_R114_1"	"X114"	"Hybrid"	"CK"	"Root"	1	"P14"
"52.11"	"Polyangiales"	"CK_R114_1"	0.010343998	"CK_R114_1"	"X114"	"Hybrid"	"CK"	"Root"	1	"P14"
"52.12"	"Corynebacteriales"	"CK_R114_1"	0.003768743	"CK_R114_1"	"X114"	"Hybrid"	"CK"	"Root"	1	"P14"
"52.13"	"Gammaproteobacteria_Incertae_Sedis"	"CK_R114_1"	0.002485767	"CK_R114_1"	"X114"	"Hybrid"	"CK"	"Root"	1	"P14"
"52.14"	"KD4-96"	"CK_R114_1"	0.005292278	"CK_R114_1"	"X114"	"Hybrid"	"CK"	"Root"	1	"P14"
"52.15"	"Pseudonocardiales"	"CK_R114_1"	0.001282977	"CK_R114_1"	"X114"	"Hybrid"	"CK"	"Root"	1	"P14"
"52.16"	"Microtrichales"	"CK_R114_1"	0.003929116	"CK_R114_1"	"X114"	"Hybrid"	"CK"	"Root"	1	"P14"
"52.17"	"Micrococcales"	"CK_R114_1"	0.005933766	"CK_R114_1"	"X114"	"Hybrid"	"CK"	"Root"	1	"P14"
"52.18"	"Chitinophagales"	"CK_R114_1"	0.000561302	"CK_R114_1"	"X114"	"Hybrid"	"CK"	"Root"	1	"P14"
"52.19"	"Gemmatimonadales"	"CK_R114_1"	0.00930158	"CK_R114_1"	"X114"	"Hybrid"	"CK"	"Root"	1	"P14"
"52.20"	"Sphingomonadales"	"CK_R114_1"	0.013631625	"CK_R114_1"	"X114"	"Hybrid"	"CK"	"Root"	1	"P14"
"52.21"	"Clostridia"	"CK_R114_1"	0.030951808	"CK_R114_1"	"X114"	"Hybrid"	"CK"	"Root"	1	"P14"
"52.22"	"Bryobacterales"	"CK_R114_1"	0.015235346	"CK_R114_1"	"X114"	"Hybrid"	"CK"	"Root"	1	"P14"
"52.23"	"Vicinamibacterales"	"CK_R114_1"	0.059738594	"CK_R114_1"	"X114"	"Hybrid"	"CK"	"Root"	1	"P14"
"52.24"	"Bacillales"	"CK_R114_1"	0.011626975	"CK_R114_1"	"X114"	"Hybrid"	"CK"	"Root"	1	"P14"
"52.25"	"Gaiellales"	"CK_R114_1"	0.113623607	"CK_R114_1"	"X114"	"Hybrid"	"CK"	"Root"	1	"P14"
"52.26"	"Rhizobiales"	"CK_R114_1"	0.178574292	"CK_R114_1"	"X114"	"Hybrid"	"CK"	"Root"	1	"P14"
"52.27"	"Burkholderiales"	"CK_R114_1"	0.084917007	"CK_R114_1"	"X114"	"Hybrid"	"CK"	"Root"	1	"P14"
"52.28"	"Pyrinomonadales"	"CK_R114_1"	0.383369417	"CK_R114_1"	"X114"	"Hybrid"	"CK"	"Root"	1	"P14"
"53"	"<0.5%"	"CK_R114_2"	0.024215624	"CK_R114_2"	"X114"	"Hybrid"	"CK"	"Root"	2	"P14"
"53.1"	"Chthoniobacterales"	"CK_R114_2"	0.005474837	"CK_R114_2"	"X114"	"Hybrid"	"CK"	"Root"	2	"P14"
"53.2"	"Dongiales"	"CK_R114_2"	0.000842283	"CK_R114_2"	"X114"	"Hybrid"	"CK"	"Root"	2	"P14"
"53.3"	"Steroidobacterales"	"CK_R114_2"	0.00315856	"CK_R114_2"	"X114"	"Hybrid"	"CK"	"Root"	2	"P14"
"53.4"	"Paenibacillales"	"CK_R114_2"	0.004632554	"CK_R114_2"	"X114"	"Hybrid"	"CK"	"Root"	2	"P14"
"53.5"	"Solirubrobacterales"	"CK_R114_2"	0.008001685	"CK_R114_2"	"X114"	"Hybrid"	"CK"	"Root"	2	"P14"
"53.6"	"Xanthomonadales"	"CK_R114_2"	0	"CK_R114_2"	"X114"	"Hybrid"	"CK"	"Root"	2	"P14"
"53.7"	"Propionibacteriales"	"CK_R114_2"	0.008843967	"CK_R114_2"	"X114"	"Hybrid"	"CK"	"Root"	2	"P14"
"53.8"	"Pseudomonadales"	"CK_R114_2"	0.009054538	"CK_R114_2"	"X114"	"Hybrid"	"CK"	"Root"	2	"P14"
"53.9"	"Chloroflexales"	"CK_R114_2"	0.010528532	"CK_R114_2"	"X114"	"Hybrid"	"CK"	"Root"	2	"P14"
"53.10"	"Frankiales"	"CK_R114_2"	0.008001685	"CK_R114_2"	"X114"	"Hybrid"	"CK"	"Root"	2	"P14"
"53.11"	"Polyangiales"	"CK_R114_2"	0.009054538	"CK_R114_2"	"X114"	"Hybrid"	"CK"	"Root"	2	"P14"
"53.12"	"Corynebacteriales"	"CK_R114_2"	0.006738261	"CK_R114_2"	"X114"	"Hybrid"	"CK"	"Root"	2	"P14"
"53.13"	"Gammaproteobacteria_Incertae_Sedis"	"CK_R114_2"	0.022531059	"CK_R114_2"	"X114"	"Hybrid"	"CK"	"Root"	2	"P14"
"53.14"	"KD4-96"	"CK_R114_2"	0.025268478	"CK_R114_2"	"X114"	"Hybrid"	"CK"	"Root"	2	"P14"
"53.15"	"Pseudonocardiales"	"CK_R114_2"	0.002105706	"CK_R114_2"	"X114"	"Hybrid"	"CK"	"Root"	2	"P14"
"53.16"	"Microtrichales"	"CK_R114_2"	0.012002527	"CK_R114_2"	"X114"	"Hybrid"	"CK"	"Root"	2	"P14"
"53.17"	"Micrococcales"	"CK_R114_2"	0.009475679	"CK_R114_2"	"X114"	"Hybrid"	"CK"	"Root"	2	"P14"
"53.18"	"Chitinophagales"	"CK_R114_2"	0.005053696	"CK_R114_2"	"X114"	"Hybrid"	"CK"	"Root"	2	"P14"
"53.19"	"Gemmatimonadales"	"CK_R114_2"	0.02926932	"CK_R114_2"	"X114"	"Hybrid"	"CK"	"Root"	2	"P14"
"53.20"	"Sphingomonadales"	"CK_R114_2"	0.024215624	"CK_R114_2"	"X114"	"Hybrid"	"CK"	"Root"	2	"P14"
"53.21"	"Clostridia"	"CK_R114_2"	0.022109918	"CK_R114_2"	"X114"	"Hybrid"	"CK"	"Root"	2	"P14"
"53.22"	"Bryobacterales"	"CK_R114_2"	0.039587282	"CK_R114_2"	"X114"	"Hybrid"	"CK"	"Root"	2	"P14"
"53.23"	"Vicinamibacterales"	"CK_R114_2"	0.020846494	"CK_R114_2"	"X114"	"Hybrid"	"CK"	"Root"	2	"P14"
"53.24"	"Bacillales"	"CK_R114_2"	0.094125079	"CK_R114_2"	"X114"	"Hybrid"	"CK"	"Root"	2	"P14"
"53.25"	"Gaiellales"	"CK_R114_2"	0.040850705	"CK_R114_2"	"X114"	"Hybrid"	"CK"	"Root"	2	"P14"
"53.26"	"Rhizobiales"	"CK_R114_2"	0.084859971	"CK_R114_2"	"X114"	"Hybrid"	"CK"	"Root"	2	"P14"
"53.27"	"Burkholderiales"	"CK_R114_2"	0.175615919	"CK_R114_2"	"X114"	"Hybrid"	"CK"	"Root"	2	"P14"
"53.28"	"Pyrinomonadales"	"CK_R114_2"	0.249526216	"CK_R114_2"	"X114"	"Hybrid"	"CK"	"Root"	2	"P14"
"54"	"<0.5%"	"CK_R114_3"	0.019509623	"CK_R114_3"	"X114"	"Hybrid"	"CK"	"Root"	3	"P14"
"54.1"	"Chthoniobacterales"	"CK_R114_3"	0.003295544	"CK_R114_3"	"X114"	"Hybrid"	"CK"	"Root"	3	"P14"
"54.2"	"Dongiales"	"CK_R114_3"	0.005404693	"CK_R114_3"	"X114"	"Hybrid"	"CK"	"Root"	3	"P14"
"54.3"	"Steroidobacterales"	"CK_R114_3"	0.001713683	"CK_R114_3"	"X114"	"Hybrid"	"CK"	"Root"	3	"P14"
"54.4"	"Paenibacillales"	"CK_R114_3"	0.006986554	"CK_R114_3"	"X114"	"Hybrid"	"CK"	"Root"	3	"P14"
"54.5"	"Solirubrobacterales"	"CK_R114_3"	0.007250198	"CK_R114_3"	"X114"	"Hybrid"	"CK"	"Root"	3	"P14"
"54.6"	"Xanthomonadales"	"CK_R114_3"	0.004350119	"CK_R114_3"	"X114"	"Hybrid"	"CK"	"Root"	3	"P14"
"54.7"	"Propionibacteriales"	"CK_R114_3"	0.014632217	"CK_R114_3"	"X114"	"Hybrid"	"CK"	"Root"	3	"P14"
"54.8"	"Pseudomonadales"	"CK_R114_3"	0.00889797	"CK_R114_3"	"X114"	"Hybrid"	"CK"	"Root"	3	"P14"
"54.9"	"Chloroflexales"	"CK_R114_3"	0.006788822	"CK_R114_3"	"X114"	"Hybrid"	"CK"	"Root"	3	"P14"
"54.10"	"Frankiales"	"CK_R114_3"	0.008634326	"CK_R114_3"	"X114"	"Hybrid"	"CK"	"Root"	3	"P14"
"54.11"	"Polyangiales"	"CK_R114_3"	0.006854732	"CK_R114_3"	"X114"	"Hybrid"	"CK"	"Root"	3	"P14"
"54.12"	"Corynebacteriales"	"CK_R114_3"	0.008568416	"CK_R114_3"	"X114"	"Hybrid"	"CK"	"Root"	3	"P14"
"54.13"	"Gammaproteobacteria_Incertae_Sedis"	"CK_R114_3"	0.008304772	"CK_R114_3"	"X114"	"Hybrid"	"CK"	"Root"	3	"P14"
"54.14"	"KD4-96"	"CK_R114_3"	0.023266544	"CK_R114_3"	"X114"	"Hybrid"	"CK"	"Root"	3	"P14"
"54.15"	"Pseudonocardiales"	"CK_R114_3"	0.019443712	"CK_R114_3"	"X114"	"Hybrid"	"CK"	"Root"	3	"P14"
"54.16"	"Microtrichales"	"CK_R114_3"	0.012325336	"CK_R114_3"	"X114"	"Hybrid"	"CK"	"Root"	3	"P14"
"54.17"	"Micrococcales"	"CK_R114_3"	0.012193514	"CK_R114_3"	"X114"	"Hybrid"	"CK"	"Root"	3	"P14"
"54.18"	"Chitinophagales"	"CK_R114_3"	0.010150277	"CK_R114_3"	"X114"	"Hybrid"	"CK"	"Root"	3	"P14"
"54.19"	"Gemmatimonadales"	"CK_R114_3"	0.022805167	"CK_R114_3"	"X114"	"Hybrid"	"CK"	"Root"	3	"P14"
"54.20"	"Sphingomonadales"	"CK_R114_3"	0.026759821	"CK_R114_3"	"X114"	"Hybrid"	"CK"	"Root"	3	"P14"
"54.21"	"Clostridia"	"CK_R114_3"	0.022541524	"CK_R114_3"	"X114"	"Hybrid"	"CK"	"Root"	3	"P14"
"54.22"	"Bryobacterales"	"CK_R114_3"	0.020102821	"CK_R114_3"	"X114"	"Hybrid"	"CK"	"Root"	3	"P14"
"54.23"	"Vicinamibacterales"	"CK_R114_3"	0.044819404	"CK_R114_3"	"X114"	"Hybrid"	"CK"	"Root"	3	"P14"
"54.24"	"Bacillales"	"CK_R114_3"	0.061494859	"CK_R114_3"	"X114"	"Hybrid"	"CK"	"Root"	3	"P14"
"54.25"	"Gaiellales"	"CK_R114_3"	0.049037701	"CK_R114_3"	"X114"	"Hybrid"	"CK"	"Root"	3	"P14"
"54.26"	"Rhizobiales"	"CK_R114_3"	0.112971263	"CK_R114_3"	"X114"	"Hybrid"	"CK"	"Root"	3	"P14"
"54.27"	"Burkholderiales"	"CK_R114_3"	0.158845241	"CK_R114_3"	"X114"	"Hybrid"	"CK"	"Root"	3	"P14"
"54.28"	"Pyrinomonadales"	"CK_R114_3"	0.234906407	"CK_R114_3"	"X114"	"Hybrid"	"CK"	"Root"	3	"P14"
"55"	"<0.5%"	"CK_R115_1"	0.01052515	"CK_R115_1"	"X115"	"Hybrid"	"CK"	"Root"	1	"P11"
"55.1"	"Chthoniobacterales"	"CK_R115_1"	0.005484157	"CK_R115_1"	"X115"	"Hybrid"	"CK"	"Root"	1	"P11"
"55.2"	"Dongiales"	"CK_R115_1"	0	"CK_R115_1"	"X115"	"Hybrid"	"CK"	"Root"	1	"P11"
"55.3"	"Steroidobacterales"	"CK_R115_1"	0.006758254	"CK_R115_1"	"X115"	"Hybrid"	"CK"	"Root"	1	"P11"
"55.4"	"Paenibacillales"	"CK_R115_1"	0.001551075	"CK_R115_1"	"X115"	"Hybrid"	"CK"	"Root"	1	"P11"
"55.5"	"Solirubrobacterales"	"CK_R115_1"	0.003656105	"CK_R115_1"	"X115"	"Hybrid"	"CK"	"Root"	1	"P11"
"55.6"	"Xanthomonadales"	"CK_R115_1"	0.003157545	"CK_R115_1"	"X115"	"Hybrid"	"CK"	"Root"	1	"P11"
"55.7"	"Propionibacteriales"	"CK_R115_1"	0.008198538	"CK_R115_1"	"X115"	"Hybrid"	"CK"	"Root"	1	"P11"
"55.8"	"Pseudomonadales"	"CK_R115_1"	0.006204299	"CK_R115_1"	"X115"	"Hybrid"	"CK"	"Root"	1	"P11"
"55.9"	"Chloroflexales"	"CK_R115_1"	0.008530911	"CK_R115_1"	"X115"	"Hybrid"	"CK"	"Root"	1	"P11"
"55.10"	"Frankiales"	"CK_R115_1"	0.004487037	"CK_R115_1"	"X115"	"Hybrid"	"CK"	"Root"	1	"P11"
"55.11"	"Polyangiales"	"CK_R115_1"	0.011799247	"CK_R115_1"	"X115"	"Hybrid"	"CK"	"Root"	1	"P11"
"55.12"	"Corynebacteriales"	"CK_R115_1"	0.011688456	"CK_R115_1"	"X115"	"Hybrid"	"CK"	"Root"	1	"P11"
"55.13"	"Gammaproteobacteria_Incertae_Sedis"	"CK_R115_1"	0.009306448	"CK_R115_1"	"X115"	"Hybrid"	"CK"	"Root"	1	"P11"
"55.14"	"KD4-96"	"CK_R115_1"	0.006813649	"CK_R115_1"	"X115"	"Hybrid"	"CK"	"Root"	1	"P11"
"55.15"	"Pseudonocardiales"	"CK_R115_1"	0.004043873	"CK_R115_1"	"X115"	"Hybrid"	"CK"	"Root"	1	"P11"
"55.16"	"Microtrichales"	"CK_R115_1"	0.007423	"CK_R115_1"	"X115"	"Hybrid"	"CK"	"Root"	1	"P11"
"55.17"	"Micrococcales"	"CK_R115_1"	0.012187015	"CK_R115_1"	"X115"	"Hybrid"	"CK"	"Root"	1	"P11"
"55.18"	"Chitinophagales"	"CK_R115_1"	0.009971194	"CK_R115_1"	"X115"	"Hybrid"	"CK"	"Root"	1	"P11"
"55.19"	"Gemmatimonadales"	"CK_R115_1"	0.01163306	"CK_R115_1"	"X115"	"Hybrid"	"CK"	"Root"	1	"P11"
"55.20"	"Sphingomonadales"	"CK_R115_1"	0.017338799	"CK_R115_1"	"X115"	"Hybrid"	"CK"	"Root"	1	"P11"
"55.21"	"Clostridia"	"CK_R115_1"	0.017228008	"CK_R115_1"	"X115"	"Hybrid"	"CK"	"Root"	1	"P11"
"55.22"	"Bryobacterales"	"CK_R115_1"	0.037391979	"CK_R115_1"	"X115"	"Hybrid"	"CK"	"Root"	1	"P11"
"55.23"	"Vicinamibacterales"	"CK_R115_1"	0.059273211	"CK_R115_1"	"X115"	"Hybrid"	"CK"	"Root"	1	"P11"
"55.24"	"Bacillales"	"CK_R115_1"	0.035453135	"CK_R115_1"	"X115"	"Hybrid"	"CK"	"Root"	1	"P11"
"55.25"	"Gaiellales"	"CK_R115_1"	0.07350986	"CK_R115_1"	"X115"	"Hybrid"	"CK"	"Root"	1	"P11"
"55.26"	"Rhizobiales"	"CK_R115_1"	0.09516951	"CK_R115_1"	"X115"	"Hybrid"	"CK"	"Root"	1	"P11"
"55.27"	"Burkholderiales"	"CK_R115_1"	0.174495901	"CK_R115_1"	"X115"	"Hybrid"	"CK"	"Root"	1	"P11"
"55.28"	"Pyrinomonadales"	"CK_R115_1"	0.314258808	"CK_R115_1"	"X115"	"Hybrid"	"CK"	"Root"	1	"P11"
"56"	"<0.5%"	"CK_R115_2"	0.023583036	"CK_R115_2"	"X115"	"Hybrid"	"CK"	"Root"	2	"P11"
"56.1"	"Chthoniobacterales"	"CK_R115_2"	0.000990884	"CK_R115_2"	"X115"	"Hybrid"	"CK"	"Root"	2	"P11"
"56.2"	"Dongiales"	"CK_R115_2"	0.001189061	"CK_R115_2"	"X115"	"Hybrid"	"CK"	"Root"	2	"P11"
"56.3"	"Steroidobacterales"	"CK_R115_2"	0.002179945	"CK_R115_2"	"X115"	"Hybrid"	"CK"	"Root"	2	"P11"
"56.4"	"Paenibacillales"	"CK_R115_2"	0.005152596	"CK_R115_2"	"X115"	"Hybrid"	"CK"	"Root"	2	"P11"
"56.5"	"Solirubrobacterales"	"CK_R115_2"	0.00614348	"CK_R115_2"	"X115"	"Hybrid"	"CK"	"Root"	2	"P11"
"56.6"	"Xanthomonadales"	"CK_R115_2"	0	"CK_R115_2"	"X115"	"Hybrid"	"CK"	"Root"	2	"P11"
"56.7"	"Propionibacteriales"	"CK_R115_2"	0.010107015	"CK_R115_2"	"X115"	"Hybrid"	"CK"	"Root"	2	"P11"
"56.8"	"Pseudomonadales"	"CK_R115_2"	0.014268728	"CK_R115_2"	"X115"	"Hybrid"	"CK"	"Root"	2	"P11"
"56.9"	"Chloroflexales"	"CK_R115_2"	0.005350773	"CK_R115_2"	"X115"	"Hybrid"	"CK"	"Root"	2	"P11"
"56.10"	"Frankiales"	"CK_R115_2"	0.005350773	"CK_R115_2"	"X115"	"Hybrid"	"CK"	"Root"	2	"P11"
"56.11"	"Polyangiales"	"CK_R115_2"	0.002378121	"CK_R115_2"	"X115"	"Hybrid"	"CK"	"Root"	2	"P11"
"56.12"	"Corynebacteriales"	"CK_R115_2"	0.006341657	"CK_R115_2"	"X115"	"Hybrid"	"CK"	"Root"	2	"P11"
"56.13"	"Gammaproteobacteria_Incertae_Sedis"	"CK_R115_2"	0.008125248	"CK_R115_2"	"X115"	"Hybrid"	"CK"	"Root"	2	"P11"
"56.14"	"KD4-96"	"CK_R115_2"	0.003567182	"CK_R115_2"	"X115"	"Hybrid"	"CK"	"Root"	2	"P11"
"56.15"	"Pseudonocardiales"	"CK_R115_2"	0	"CK_R115_2"	"X115"	"Hybrid"	"CK"	"Root"	2	"P11"
"56.16"	"Microtrichales"	"CK_R115_2"	0.006341657	"CK_R115_2"	"X115"	"Hybrid"	"CK"	"Root"	2	"P11"
"56.17"	"Micrococcales"	"CK_R115_2"	0.003963535	"CK_R115_2"	"X115"	"Hybrid"	"CK"	"Root"	2	"P11"
"56.18"	"Chitinophagales"	"CK_R115_2"	0.004558066	"CK_R115_2"	"X115"	"Hybrid"	"CK"	"Root"	2	"P11"
"56.19"	"Gemmatimonadales"	"CK_R115_2"	0.015854142	"CK_R115_2"	"X115"	"Hybrid"	"CK"	"Root"	2	"P11"
"56.20"	"Sphingomonadales"	"CK_R115_2"	0.014070551	"CK_R115_2"	"X115"	"Hybrid"	"CK"	"Root"	2	"P11"
"56.21"	"Clostridia"	"CK_R115_2"	0.022592152	"CK_R115_2"	"X115"	"Hybrid"	"CK"	"Root"	2	"P11"
"56.22"	"Bryobacterales"	"CK_R115_2"	0.06084027	"CK_R115_2"	"X115"	"Hybrid"	"CK"	"Root"	2	"P11"
"56.23"	"Vicinamibacterales"	"CK_R115_2"	0.024772097	"CK_R115_2"	"X115"	"Hybrid"	"CK"	"Root"	2	"P11"
"56.24"	"Bacillales"	"CK_R115_2"	0.094926675	"CK_R115_2"	"X115"	"Hybrid"	"CK"	"Root"	2	"P11"
"56.25"	"Gaiellales"	"CK_R115_2"	0.069361871	"CK_R115_2"	"X115"	"Hybrid"	"CK"	"Root"	2	"P11"
"56.26"	"Rhizobiales"	"CK_R115_2"	0.091954023	"CK_R115_2"	"X115"	"Hybrid"	"CK"	"Root"	2	"P11"
"56.27"	"Burkholderiales"	"CK_R115_2"	0.106024574	"CK_R115_2"	"X115"	"Hybrid"	"CK"	"Root"	2	"P11"
"56.28"	"Pyrinomonadales"	"CK_R115_2"	0.369203329	"CK_R115_2"	"X115"	"Hybrid"	"CK"	"Root"	2	"P11"
"57"	"<0.5%"	"CK_R115_3"	0.019819719	"CK_R115_3"	"X115"	"Hybrid"	"CK"	"Root"	3	"P11"
"57.1"	"Chthoniobacterales"	"CK_R115_3"	0.004311069	"CK_R115_3"	"X115"	"Hybrid"	"CK"	"Root"	3	"P11"
"57.2"	"Dongiales"	"CK_R115_3"	0.005150887	"CK_R115_3"	"X115"	"Hybrid"	"CK"	"Root"	3	"P11"
"57.3"	"Steroidobacterales"	"CK_R115_3"	0.007670343	"CK_R115_3"	"X115"	"Hybrid"	"CK"	"Root"	3	"P11"
"57.4"	"Paenibacillales"	"CK_R115_3"	0.003583226	"CK_R115_3"	"X115"	"Hybrid"	"CK"	"Root"	3	"P11"
"57.5"	"Solirubrobacterales"	"CK_R115_3"	0.008454174	"CK_R115_3"	"X115"	"Hybrid"	"CK"	"Root"	3	"P11"
"57.6"	"Xanthomonadales"	"CK_R115_3"	0.004031129	"CK_R115_3"	"X115"	"Hybrid"	"CK"	"Root"	3	"P11"
"57.7"	"Propionibacteriales"	"CK_R115_3"	0.004982924	"CK_R115_3"	"X115"	"Hybrid"	"CK"	"Root"	3	"P11"
"57.8"	"Pseudomonadales"	"CK_R115_3"	0.006774537	"CK_R115_3"	"X115"	"Hybrid"	"CK"	"Root"	3	"P11"
"57.9"	"Chloroflexales"	"CK_R115_3"	0.005934718	"CK_R115_3"	"X115"	"Hybrid"	"CK"	"Root"	3	"P11"
"57.10"	"Frankiales"	"CK_R115_3"	0.008398186	"CK_R115_3"	"X115"	"Hybrid"	"CK"	"Root"	3	"P11"
"57.11"	"Polyangiales"	"CK_R115_3"	0.00615867	"CK_R115_3"	"X115"	"Hybrid"	"CK"	"Root"	3	"P11"
"57.12"	"Corynebacteriales"	"CK_R115_3"	0.008398186	"CK_R115_3"	"X115"	"Hybrid"	"CK"	"Root"	3	"P11"
