SampleID	Genotype	Germplasm	Treatment	Compartment	Block	Plot
D_R19_3	X19	Landrace	D	Root	3	P01
D_R2_1	X2	Landrace	D	Root	1	P04
D_R2_2	X2	Landrace	D	Root	2	P04
D_R2_3	X2	Landrace	D	Root	3	P04
D_R20_1	X20	Landrace	D	Root	1	P01
D_R20_2	X20	Landrace	D	Root	2	P01
D_R20_3	X20	Landrace	D	Root	3	P01
D_R21_1	X21	Landrace	D	Root	1	P01
D_R21_2	X21	Landrace	D	Root	2	P01
D_R21_3	X21	Landrace	D	Root	3	P01
D_R22_1	X22	Landrace	D	Root	1	P04
D_R22_2	X22	Landrace	D	Root	2	P04
D_R22_3	X22	Landrace	D	Root	3	P04
D_R23_1	X23	Landrace	D	Root	1	P15
D_R23_2	X23	Landrace	D	Root	2	P15
D_R23_3	X23	Landrace	D	Root	3	P15
D_R24_1	X24	Landrace	D	Root	1	P04
D_R24_2	X24	Landrace	D	Root	2	P04
D_R24_3	X24	Landrace	D	Root	3	P04
D_R25_1	X25	Landrace	D	Root	1	P04
D_R25_2	X25	Landrace	D	Root	2	P04
D_R25_3	X25	Landrace	D	Root	3	P04
D_R26_1	X26	Landrace	D	Root	1	P15
D_R26_2	X26	Landrace	D	Root	2	P15
D_R26_3	X26	Landrace	D	Root	3	P15
D_R27_1	X27	Landrace	D	Root	1	P15
D_R27_2	X27	Landrace	D	Root	2	P15
D_R27_3	X27	Landrace	D	Root	3	P15
D_R28_1	X28	Landrace	D	Root	1	P01
D_R28_2	X28	Landrace	D	Root	2	P01
D_R28_3	X28	Landrace	D	Root	3	P01
D_R29_1	X29	Landrace	D	Root	1	P10
D_R29_2	X29	Landrace	D	Root	2	P10
D_R29_3	X29	Landrace	D	Root	3	P10
D_R3_1	X3	Landrace	D	Root	1	P10
D_R3_2	X3	Landrace	D	Root	2	P10
D_R3_3	X3	Landrace	D	Root	3	P10
D_R30_1	X30	Landrace	D	Root	1	P10
D_R30_2	X30	Landrace	D	Root	2	P10
D_R30_3	X30	Landrace	D	Root	3	P10
D_R31_1	X31	Landrace	D	Root	1	P10
D_R31_2	X31	Landrace	D	Root	2	P10
D_R31_3	X31	Landrace	D	Root	3	P10
D_R32_1	X32	Landrace	D	Root	1	P15
D_R32_2	X32	Landrace	D	Root	2	P15
D_R32_3	X32	Landrace	D	Root	3	P15
D_R33_1	X33	Landrace	D	Root	1	P15
D_R33_2	X33	Landrace	D	Root	2	P15
D_R33_3	X33	Landrace	D	Root	3	P15
D_R34_1	X34	Landrace	D	Root	1	P04
D_R34_2	X34	Landrace	D	Root	2	P04
D_R34_3	X34	Landrace	D	Root	3	P04
D_R35_1	X35	Landrace	D	Root	1	P10
D_R35_2	X35	Landrace	D	Root	2	P10
D_R35_3	X35	Landrace	D	Root	3	P10
D_R36_1	X36	Landrace	D	Root	1	P01
D_R36_2	X36	Landrace	D	Root	2	P01
D_R36_3	X36	Landrace	D	Root	3	P01
D_R37_1	X37	Landrace	D	Root	1	P04
D_R37_2	X37	Landrace	D	Root	2	P04
D_R37_3	X37	Landrace	D	Root	3	P04
D_R38_1	X38	Landrace	D	Root	1	P10
D_R38_2	X38	Landrace	D	Root	2	P10
D_R38_3	X38	Landrace	D	Root	3	P10
D_R39_1	X39	Landrace	D	Root	1	P04
D_R39_2	X39	Landrace	D	Root	2	P04
D_R39_3	X39	Landrace	D	Root	3	P04
D_R4_1	X4	Landrace	D	Root	1	P01
D_R4_2	X4	Landrace	D	Root	2	P01
D_R4_3	X4	Landrace	D	Root	3	P01
D_R40_1	X40	Landrace	D	Root	1	P01
D_R40_2	X40	Landrace	D	Root	2	P01
D_R40_3	X40	Landrace	D	Root	3	P01
D_R41_1	X41	Landrace	D	Root	1	P10
D_R41_2	X41	Landrace	D	Root	2	P10
D_R41_3	X41	Landrace	D	Root	3	P10
D_R42_1	X42	Landrace	D	Root	1	P15
D_R42_2	X42	Landrace	D	Root	2	P15
D_R42_3	X42	Landrace	D	Root	3	P15
D_R43_1	X43	Landrace	D	Root	1	P01
D_R43_2	X43	Landrace	D	Root	2	P01
D_R43_3	X43	Landrace	D	Root	3	P01
D_R44_1	X44	Landrace	D	Root	1	P15
D_R44_2	X44	Landrace	D	Root	2	P15
D_R44_3	X44	Landrace	D	Root	3	P15
D_R45_1	X45	Landrace	D	Root	1	P10
D_R45_2	X45	Landrace	D	Root	2	P10
D_R45_3	X45	Landrace	D	Root	3	P10
D_R46_1	X46	Landrace	D	Root	1	P04
D_R46_2	X46	Landrace	D	Root	2	P04
D_R46_3	X46	Landrace	D	Root	3	P04
D_R47_1	X47	Landrace	D	Root	1	P10
D_R47_2	X47	Landrace	D	Root	2	P10
D_R47_3	X47	Landrace	D	Root	3	P10
D_R48_1	X48	Landrace	D	Root	1	P04
D_R48_2	X48	Landrace	D	Root	2	P04
D_R48_3	X48	Landrace	D	Root	3	P04
D_R49_1	X49	Landrace	D	Root	1	P10
D_R49_2	X49	Landrace	D	Root	2	P10
D_R49_3	X49	Landrace	D	Root	3	P10
D_R5_1	X5	Landrace	D	Root	1	P15
D_R5_2	X5	Landrace	D	Root	2	P15
D_R5_3	X5	Landrace	D	Root	3	P15
D_R50_1	X50	Landrace	D	Root	1	P10
D_R50_2	X50	Landrace	D	Root	2	P10
D_R50_3	X50	Landrace	D	Root	3	P10
D_R51_1	X51	Landrace	D	Root	1	P04
D_R51_2	X51	Landrace	D	Root	2	P04
D_R51_3	X51	Landrace	D	Root	3	P04
D_R52_1	X52	Landrace	D	Root	1	P15
D_R52_2	X52	Landrace	D	Root	2	P15
D_R52_3	X52	Landrace	D	Root	3	P15
D_R53_1	X53	Landrace	D	Root	1	P01
D_R53_2	X53	Landrace	D	Root	2	P01
D_R53_3	X53	Landrace	D	Root	3	P01
D_R54_1	X54	Landrace	D	Root	1	P15
D_R54_2	X54	Landrace	D	Root	2	P15
D_R54_3	X54	Landrace	D	Root	3	P15
D_R55_1	X55	Landrace	D	Root	1	P10
D_R55_2	X55	Landrace	D	Root	2	P10
D_R55_3	X55	Landrace	D	Root	3	P10
D_R56_1	X56	Landrace	D	Root	1	P10
D_R56_2	X56	Landrace	D	Root	2	P10
D_R56_3	X56	Landrace	D	Root	3	P10
D_R57_1	X57	Landrace	D	Root	1	P10
D_R57_2	X57	Landrace	D	Root	2	P10
D_R57_3	X57	Landrace	D	Root	3	P10
D_R58_1	X58	Landrace	D	Root	1	P04
D_R58_2	X58	Landrace	D	Root	2	P04
D_R58_3	X58	Landrace	D	Root	3	P04
D_R59_1	X59	Landrace	D	Root	1	P15
D_R59_2	X59	Landrace	D	Root	2	P15
D_R59_3	X59	Landrace	D	Root	3	P15
D_R6_1	X6	Landrace	D	Root	1	P04
D_R6_2	X6	Landrace	D	Root	2	P04
D_R6_3	X6	Landrace	D	Root	3	P04
D_R60_1	X60	Landrace	D	Root	1	P15
D_R60_2	X60	Landrace	D	Root	2	P15
D_R60_3	X60	Landrace	D	Root	3	P15
D_R61_1	X61	Landrace	D	Root	1	P10
D_R61_2	X61	Landrace	D	Root	2	P10
D_R61_3	X61	Landrace	D	Root	3	P10
D_R62_1	X62	Landrace	D	Root	1	P04
D_R62_2	X62	Landrace	D	Root	2	P04
D_R62_3	X62	Landrace	D	Root	3	P04
D_R63_1	X63	Landrace	D	Root	1	P01
D_R63_2	X63	Landrace	D	Root	2	P01
D_R63_3	X63	Landrace	D	Root	3	P01
D_R64_1	X64	Landrace	D	Root	1	P01
D_R64_2	X64	Landrace	D	Root	2	P01
D_R64_3	X64	Landrace	D	Root	3	P01
D_R65_1	X65	Landrace	D	Root	1	P01
D_R65_2	X65	Landrace	D	Root	2	P01
D_R65_3	X65	Landrace	D	Root	3	P01
D_R66_1	X66	Landrace	D	Root	1	P01
D_R66_2	X66	Landrace	D	Root	2	P01
D_R66_3	X66	Landrace	D	Root	3	P01
D_R67_1	X67	Landrace	D	Root	1	P10
D_R67_2	X67	Landrace	D	Root	2	P10
D_R67_3	X67	Landrace	D	Root	3	P10
D_R68_1	X68	Landrace	D	Root	1	P04
D_R68_2	X68	Landrace	D	Root	2	P04
D_R68_3	X68	Landrace	D	Root	3	P04
D_R69_1	X69	Landrace	D	Root	1	P15
D_R69_2	X69	Landrace	D	Root	2	P15
D_R69_3	X69	Landrace	D	Root	3	P15
D_R7_1	X7	Landrace	D	Root	1	P01
D_R7_2	X7	Landrace	D	Root	2	P01
D_R7_3	X7	Landrace	D	Root	3	P01
D_R70_1	X70	Landrace	D	Root	1	P01
D_R70_2	X70	Landrace	D	Root	2	P01
D_R70_3	X70	Landrace	D	Root	3	P01
D_R71_1	X71	Landrace	D	Root	1	P04
D_R71_2	X71	Landrace	D	Root	2	P04
D_R71_3	X71	Landrace	D	Root	3	P04
D_R72_1	X72	Landrace	D	Root	1	P04
D_R72_2	X72	Landrace	D	Root	2	P04
D_R72_3	X72	Landrace	D	Root	3	P04
D_R73_1	X73	Landrace	D	Root	1	P10
D_R73_2	X73	Landrace	D	Root	2	P10
D_R73_3	X73	Landrace	D	Root	3	P10
D_R74_1	X74	Landrace	D	Root	1	P04
D_R74_2	X74	Landrace	D	Root	2	P04
D_R74_3	X74	Landrace	D	Root	3	P04
D_R75_1	X75	Landrace	D	Root	1	P15
D_R75_2	X75	Landrace	D	Root	2	P15
D_R75_3	X75	Landrace	D	Root	3	P15
D_R76_1	X76	Landrace	D	Root	1	P04
D_R76_2	X76	Landrace	D	Root	2	P04
D_R76_3	X76	Landrace	D	Root	3	P04
D_R77_1	X77	Landrace	D	Root	1	P01
D_R77_2	X77	Landrace	D	Root	2	P01
D_R77_3	X77	Landrace	D	Root	3	P01
D_R78_1	X78	Landrace	D	Root	1	P01
D_R78_2	X78	Landrace	D	Root	2	P01
D_R78_3	X78	Landrace	D	Root	3	P01
D_R79_1	X79	Landrace	D	Root	1	P10
D_R79_2	X79	Landrace	D	Root	2	P10
D_R79_3	X79	Landrace	D	Root	3	P10
D_R8_1	X8	Landrace	D	Root	1	P01
D_R8_2	X8	Landrace	D	Root	2	P01
D_R8_3	X8	Landrace	D	Root	3	P01
D_R80_1	X80	Landrace	D	Root	1	P01
D_R80_2	X80	Landrace	D	Root	2	P01
D_R80_3	X80	Landrace	D	Root	3	P01
D_R81_1	X81	Landrace	D	Root	1	P10
D_R81_2	X81	Landrace	D	Root	2	P10
D_R81_3	X81	Landrace	D	Root	3	P10
D_R82_1	X82	Landrace	D	Root	1	P04
D_R82_2	X82	Landrace	D	Root	2	P04
D_R82_3	X82	Landrace	D	Root	3	P04
D_R83_1	X83	Landrace	D	Root	1	P10
D_R83_2	X83	Landrace	D	Root	2	P10
D_R83_3	X83	Landrace	D	Root	3	P10
D_R84_1	X84	Landrace	D	Root	1	P04
D_R84_2	X84	Landrace	D	Root	2	P04
D_R84_3	X84	Landrace	D	Root	3	P04
D_R85_1	X85	Landrace	D	Root	1	P15
D_R85_2	X85	Landrace	D	Root	2	P15
D_R85_3	X85	Landrace	D	Root	3	P15
D_R86_1	X86	Landrace	D	Root	1	P01
D_R86_2	X86	Landrace	D	Root	2	P01
D_R86_3	X86	Landrace	D	Root	3	P01
D_R87_1	X87	Landrace	D	Root	1	P04
D_R87_2	X87	Landrace	D	Root	2	P04
D_R87_3	X87	Landrace	D	Root	3	P04
D_R88_1	X88	Landrace	D	Root	1	P04
D_R88_2	X88	Landrace	D	Root	2	P04
D_R88_3	X88	Landrace	D	Root	3	P04
D_R89_1	X89	Landrace	D	Root	1	P01
D_R89_2	X89	Landrace	D	Root	2	P01
D_R89_3	X89	Landrace	D	Root	3	P01
D_R9_1	X9	Landrace	D	Root	1	P15
D_R9_2	X9	Landrace	D	Root	2	P15
D_R9_3	X9	Landrace	D	Root	3	P15
D_R90_1	X90	Landrace	D	Root	1	P04
D_R90_2	X90	Landrace	D	Root	2	P04
D_R90_3	X90	Landrace	D	Root	3	P04
D_R91_1	X91	Landrace	D	Root	1	P10
D_R91_2	X91	Landrace	D	Root	2	P10
D_R91_3	X91	Landrace	D	Root	3	P10
D_R92_1	X92	Landrace	D	Root	1	P10
D_R92_2	X92	Landrace	D	Root	2	P10
D_R92_3	X92	Landrace	D	Root	3	P10
D_R93_1	X93	Landrace	D	Root	1	P04
D_R93_2	X93	Landrace	D	Root	2	P04
D_R93_3	X93	Landrace	D	Root	3	P04
D_R94_1	X94	Landrace	D	Root	1	P01
D_R94_2	X94	Landrace	D	Root	2	P01
D_R94_3	X94	Landrace	D	Root	3	P01
D_R95_1	X95	Landrace	D	Root	1	P15
D_R95_2	X95	Landrace	D	Root	2	P15
D_R95_3	X95	Landrace	D	Root	3	P15
D_R96_1	X96	Landrace	D	Root	1	P01
D_R96_2	X96	Landrace	D	Root	2	P01
D_R96_3	X96	Landrace	D	Root	3	P01
D_R97_1	X97	Landrace	D	Root	1	P15
D_R97_2	X97	Landrace	D	Root	2	P15
D_R97_3	X97	Landrace	D	Root	3	P15
D_R98_1	X98	Inbred_line	D	Root	1	P10
D_R98_2	X98	Inbred_line	D	Root	2	P10
D_R98_3	X98	Inbred_line	D	Root	3	P10
D_R99_1	X99	Inbred_line	D	Root	1	P01
D_R99_2	X99	Inbred_line	D	Root	2	P01
D_R99_3	X99	Inbred_line	D	Root	3	P01
LN_R1_1	X1	Landrace	LN	Root	1	P12
LN_R1_2	X1	Landrace	LN	Root	2	P12
LN_R1_3	X1	Landrace	LN	Root	3	P12
LN_R10_1	X10	Landrace	LN	Root	1	P07
LN_R10_2	X10	Landrace	LN	Root	2	P07
LN_R10_3	X10	Landrace	LN	Root	3	P07
LN_R100_1	X100	Inbred_line	LN	Root	1	P12
LN_R100_2	X100	Inbred_line	LN	Root	2	P12
LN_R100_3	X100	Inbred_line	LN	Root	3	P12
LN_R101_1	X101	Inbred_line	LN	Root	1	P02
LN_R101_2	X101	Inbred_line	LN	Root	2	P02
LN_R101_3	X101	Inbred_line	LN	Root	3	P02
LN_R102_1	X102	Inbred_line	LN	Root	1	P02
LN_R102_2	X102	Inbred_line	LN	Root	2	P02
LN_R102_3	X102	Inbred_line	LN	Root	3	P02
LN_R103_1	X103	Inbred_line	LN	Root	1	P13
LN_R103_2	X103	Inbred_line	LN	Root	2	P13
LN_R103_3	X103	Inbred_line	LN	Root	3	P13
LN_R104_1	X104	Inbred_line	LN	Root	1	P02
LN_R104_2	X104	Inbred_line	LN	Root	2	P02
LN_R104_3	X104	Inbred_line	LN	Root	3	P02
LN_R105_1	X105	Inbred_line	LN	Root	1	P07
LN_R105_2	X105	Inbred_line	LN	Root	2	P07
LN_R105_3	X105	Inbred_line	LN	Root	3	P07
LN_R106_1	X106	Inbred_line	LN	Root	1	P07
LN_R106_2	X106	Inbred_line	LN	Root	2	P07
LN_R106_3	X106	Inbred_line	LN	Root	3	P07
LN_R107_1	X107	Inbred_line	LN	Root	1	P13
LN_R107_2	X107	Inbred_line	LN	Root	2	P13
LN_R107_3	X107	Inbred_line	LN	Root	3	P13
LN_R108_1	X108	Inbred_line	LN	Root	1	P07
LN_R108_2	X108	Inbred_line	LN	Root	2	P07
LN_R108_3	X108	Inbred_line	LN	Root	3	P07
LN_R109_1	X109	Hybrid	LN	Root	1	P13
LN_R109_2	X109	Hybrid	LN	Root	2	P13
LN_R109_3	X109	Hybrid	LN	Root	3	P13
LN_R11_1	X11	Landrace	LN	Root	1	P07
LN_R11_2	X11	Landrace	LN	Root	2	P07
LN_R11_3	X11	Landrace	LN	Root	3	P07
LN_R110_1	X110	Hybrid	LN	Root	1	P12
LN_R110_2	X110	Hybrid	LN	Root	2	P12
LN_R110_3	X110	Hybrid	LN	Root	3	P12
LN_R111_1	X111	Hybrid	LN	Root	1	P12
LN_R111_2	X111	Hybrid	LN	Root	2	P12
LN_R111_3	X111	Hybrid	LN	Root	3	P12
LN_R112_1	X112	Hybrid	LN	Root	1	P13
LN_R112_2	X112	Hybrid	LN	Root	2	P13
LN_R112_3	X112	Hybrid	LN	Root	3	P13
LN_R113_1	X113	Hybrid	LN	Root	1	P07
LN_R113_2	X113	Hybrid	LN	Root	2	P07
LN_R113_3	X113	Hybrid	LN	Root	3	P07
LN_R114_1	X114	Hybrid	LN	Root	1	P02
LN_R114_2	X114	Hybrid	LN	Root	2	P02
LN_R114_3	X114	Hybrid	LN	Root	3	P02
LN_R115_1	X115	Hybrid	LN	Root	1	P12
LN_R115_2	X115	Hybrid	LN	Root	2	P12
LN_R115_3	X115	Hybrid	LN	Root	3	P12
LN_R116_1	X116	Hybrid	LN	Root	1	P13
LN_R116_2	X116	Hybrid	LN	Root	2	P13
LN_R116_3	X116	Hybrid	LN	Root	3	P13
LN_R117_1	X117	Hybrid	LN	Root	1	P02
LN_R117_2	X117	Hybrid	LN	Root	2	P02
LN_R117_3	X117	Hybrid	LN	Root	3	P02
LN_R118_1	X118	Hybrid	LN	Root	1	P13
LN_R118_2	X118	Hybrid	LN	Root	2	P13
LN_R118_3	X118	Hybrid	LN	Root	3	P13
LN_R119_1	X119	Teosinte	LN	Root	1	P13
LN_R119_2	X119	Teosinte	LN	Root	2	P13
LN_R119_3	X119	Teosinte	LN	Root	3	P13
LN_R12_1	X12	Landrace	LN	Root	1	P02
LN_R12_2	X12	Landrace	LN	Root	2	P02
LN_R12_3	X12	Landrace	LN	Root	3	P02
LN_R120_1	X120	Teosinte	LN	Root	1	P07
LN_R120_2	X120	Teosinte	LN	Root	2	P07
LN_R120_3	X120	Teosinte	LN	Root	3	P07
LN_R121_1	X121	Teosinte	LN	Root	1	P02
LN_R121_2	X121	Teosinte	LN	Root	2	P02
LN_R121_3	X121	Teosinte	LN	Root	3	P02
LN_R122_1	X122	Teosinte	LN	Root	1	P07
LN_R122_2	X122	Teosinte	LN	Root	2	P07
LN_R122_3	X122	Teosinte	LN	Root	3	P07
LN_R123_1	X123	Teosinte	LN	Root	1	P13
LN_R123_2	X123	Teosinte	LN	Root	2	P13
LN_R123_3	X123	Teosinte	LN	Root	3	P13
LN_R124_1	X124	Teosinte	LN	Root	1	P12
LN_R124_2	X124	Teosinte	LN	Root	2	P12
LN_R124_3	X124	Teosinte	LN	Root	3	P12
LN_R125_1	X125	Teosinte	LN	Root	1	P12
LN_R125_2	X125	Teosinte	LN	Root	2	P12
LN_R125_3	X125	Teosinte	LN	Root	3	P12
LN_R126_1	X126	Teosinte	LN	Root	1	P13
LN_R126_2	X126	Teosinte	LN	Root	2	P13
LN_R126_3	X126	Teosinte	LN	Root	3	P13
LN_R127_1	X127	Teosinte	LN	Root	1	P02
LN_R127_2	X127	Teosinte	LN	Root	2	P02
LN_R127_3	X127	Teosinte	LN	Root	3	P02
LN_R128_1	X128	Teosinte	LN	Root	1	P07
LN_R128_2	X128	Teosinte	LN	Root	2	P07
LN_R128_3	X128	Teosinte	LN	Root	3	P07
LN_R129_1	X129	Teosinte	LN	Root	1	P07
LN_R129_2	X129	Teosinte	LN	Root	2	P07
LN_R129_3	X129	Teosinte	LN	Root	3	P07
LN_R13_1	X13	Landrace	LN	Root	1	P13
LN_R13_2	X13	Landrace	LN	Root	2	P13
LN_R13_3	X13	Landrace	LN	Root	3	P13
LN_R14_1	X14	Landrace	LN	Root	1	P02
LN_R14_2	X14	Landrace	LN	Root	2	P02
LN_R14_3	X14	Landrace	LN	Root	3	P02
LN_R15_1	X15	Landrace	LN	Root	1	P12
LN_R15_2	X15	Landrace	LN	Root	2	P12
LN_R15_3	X15	Landrace	LN	Root	3	P12
LN_R16_1	X16	Landrace	LN	Root	1	P12
LN_R16_2	X16	Landrace	LN	Root	2	P12
LN_R16_3	X16	Landrace	LN	Root	3	P12
LN_R17_1	X17	Landrace	LN	Root	1	P07
LN_R17_2	X17	Landrace	LN	Root	2	P07
LN_R17_3	X17	Landrace	LN	Root	3	P07
LN_R18_1	X18	Landrace	LN	Root	1	P13
LN_R18_2	X18	Landrace	LN	Root	2	P13
LN_R18_3	X18	Landrace	LN	Root	3	P13
LN_R19_1	X19	Landrace	LN	Root	1	P12
LN_R19_2	X19	Landrace	LN	Root	2	P12
LN_R19_3	X19	Landrace	LN	Root	3	P12
LN_R2_1	X2	Landrace	LN	Root	1	P02
LN_R2_2	X2	Landrace	LN	Root	2	P02
LN_R2_3	X2	Landrace	LN	Root	3	P02
LN_R20_1	X20	Landrace	LN	Root	1	P12
LN_R20_2	X20	Landrace	LN	Root	2	P12
LN_R20_3	X20	Landrace	LN	Root	3	P12
LN_R21_1	X21	Landrace	LN	Root	1	P12
LN_R21_2	X21	Landrace	LN	Root	2	P12
LN_R21_3	X21	Landrace	LN	Root	3	P12
LN_R22_1	X22	Landrace	LN	Root	1	P02
LN_R22_2	X22	Landrace	LN	Root	2	P02
LN_R22_3	X22	Landrace	LN	Root	3	P02
LN_R23_1	X23	Landrace	LN	Root	1	P13
LN_R23_2	X23	Landrace	LN	Root	2	P13
LN_R23_3	X23	Landrace	LN	Root	3	P13
LN_R24_1	X24	Landrace	LN	Root	1	P02
LN_R24_2	X24	Landrace	LN	Root	2	P02
LN_R24_3	X24	Landrace	LN	Root	3	P02
LN_R25_1	X25	Landrace	LN	Root	1	P02
LN_R25_2	X25	Landrace	LN	Root	2	P02
LN_R25_3	X25	Landrace	LN	Root	3	P02
LN_R26_1	X26	Landrace	LN	Root	1	P13
LN_R26_2	X26	Landrace	LN	Root	2	P13
LN_R26_3	X26	Landrace	LN	Root	3	P13
LN_R27_1	X27	Landrace	LN	Root	1	P13
LN_R27_2	X27	Landrace	LN	Root	2	P13
LN_R27_3	X27	Landrace	LN	Root	3	P13
LN_R28_1	X28	Landrace	LN	Root	1	P12
LN_R28_2	X28	Landrace	LN	Root	2	P12
LN_R28_3	X28	Landrace	LN	Root	3	P12
LN_R29_1	X29	Landrace	LN	Root	1	P07
LN_R29_2	X29	Landrace	LN	Root	2	P07
LN_R29_3	X29	Landrace	LN	Root	3	P07
LN_R3_1	X3	Landrace	LN	Root	1	P07
LN_R3_2	X3	Landrace	LN	Root	2	P07
LN_R3_3	X3	Landrace	LN	Root	3	P07
LN_R30_1	X30	Landrace	LN	Root	1	P07
LN_R30_2	X30	Landrace	LN	Root	2	P07
LN_R30_3	X30	Landrace	LN	Root	3	P07
LN_R31_1	X31	Landrace	LN	Root	1	P07
LN_R31_2	X31	Landrace	LN	Root	2	P07
LN_R31_3	X31	Landrace	LN	Root	3	P07
LN_R32_1	X32	Landrace	LN	Root	1	P13
LN_R32_2	X32	Landrace	LN	Root	2	P13
LN_R32_3	X32	Landrace	LN	Root	3	P13
LN_R33_1	X33	Landrace	LN	Root	1	P13
LN_R33_2	X33	Landrace	LN	Root	2	P13
LN_R33_3	X33	Landrace	LN	Root	3	P13
LN_R34_1	X34	Landrace	LN	Root	1	P02
LN_R34_2	X34	Landrace	LN	Root	2	P02
LN_R34_3	X34	Landrace	LN	Root	3	P02
LN_R35_1	X35	Landrace	LN	Root	1	P07
LN_R35_2	X35	Landrace	LN	Root	2	P07
LN_R35_3	X35	Landrace	LN	Root	3	P07
LN_R36_1	X36	Landrace	LN	Root	1	P12
LN_R36_2	X36	Landrace	LN	Root	2	P12
LN_R36_3	X36	Landrace	LN	Root	3	P12
LN_R37_1	X37	Landrace	LN	Root	1	P02
LN_R37_2	X37	Landrace	LN	Root	2	P02
LN_R37_3	X37	Landrace	LN	Root	3	P02
LN_R38_1	X38	Landrace	LN	Root	1	P07
LN_R38_2	X38	Landrace	LN	Root	2	P07
LN_R38_3	X38	Landrace	LN	Root	3	P07
LN_R39_1	X39	Landrace	LN	Root	1	P02
LN_R39_2	X39	Landrace	LN	Root	2	P02
LN_R39_3	X39	Landrace	LN	Root	3	P02
LN_R4_1	X4	Landrace	LN	Root	1	P12
LN_R4_2	X4	Landrace	LN	Root	2	P12
LN_R4_3	X4	Landrace	LN	Root	3	P12
LN_R40_1	X40	Landrace	LN	Root	1	P12
LN_R40_2	X40	Landrace	LN	Root	2	P12
LN_R40_3	X40	Landrace	LN	Root	3	P12
LN_R41_1	X41	Landrace	LN	Root	1	P07
LN_R41_2	X41	Landrace	LN	Root	2	P07
LN_R41_3	X41	Landrace	LN	Root	3	P07
LN_R42_1	X42	Landrace	LN	Root	1	P13
LN_R42_2	X42	Landrace	LN	Root	2	P13
LN_R42_3	X42	Landrace	LN	Root	3	P13
LN_R43_1	X43	Landrace	LN	Root	1	P12
LN_R43_2	X43	Landrace	LN	Root	2	P12
LN_R43_3	X43	Landrace	LN	Root	3	P12
LN_R44_1	X44	Landrace	LN	Root	1	P13
LN_R44_2	X44	Landrace	LN	Root	2	P13
LN_R44_3	X44	Landrace	LN	Root	3	P13
LN_R45_1	X45	Landrace	LN	Root	1	P07
LN_R45_2	X45	Landrace	LN	Root	2	P07
LN_R45_3	X45	Landrace	LN	Root	3	P07
LN_R46_1	X46	Landrace	LN	Root	1	P02
LN_R46_2	X46	Landrace	LN	Root	2	P02
LN_R46_3	X46	Landrace	LN	Root	3	P02
LN_R47_1	X47	Landrace	LN	Root	1	P07
LN_R47_2	X47	Landrace	LN	Root	2	P07
LN_R47_3	X47	Landrace	LN	Root	3	P07
LN_R48_1	X48	Landrace	LN	Root	1	P02
LN_R48_2	X48	Landrace	LN	Root	2	P02
LN_R48_3	X48	Landrace	LN	Root	3	P02
LN_R49_1	X49	Landrace	LN	Root	1	P07
LN_R49_2	X49	Landrace	LN	Root	2	P07
LN_R49_3	X49	Landrace	LN	Root	3	P07
LN_R5_1	X5	Landrace	LN	Root	1	P13
LN_R5_2	X5	Landrace	LN	Root	2	P13
LN_R5_3	X5	Landrace	LN	Root	3	P13
LN_R50_1	X50	Landrace	LN	Root	1	P07
LN_R50_2	X50	Landrace	LN	Root	2	P07
LN_R50_3	X50	Landrace	LN	Root	3	P07
LN_R51_1	X51	Landrace	LN	Root	1	P02
LN_R51_2	X51	Landrace	LN	Root	2	P02
LN_R51_3	X51	Landrace	LN	Root	3	P02
LN_R52_1	X52	Landrace	LN	Root	1	P13
LN_R52_2	X52	Landrace	LN	Root	2	P13
LN_R52_3	X52	Landrace	LN	Root	3	P13
LN_R53_1	X53	Landrace	LN	Root	1	P12
LN_R53_2	X53	Landrace	LN	Root	2	P12
LN_R53_3	X53	Landrace	LN	Root	3	P12
LN_R54_1	X54	Landrace	LN	Root	1	P13
LN_R54_2	X54	Landrace	LN	Root	2	P13
LN_R54_3	X54	Landrace	LN	Root	3	P13
LN_R55_1	X55	Landrace	LN	Root	1	P07
LN_R55_2	X55	Landrace	LN	Root	2	P07
LN_R55_3	X55	Landrace	LN	Root	3	P07
LN_R56_1	X56	Landrace	LN	Root	1	P07
LN_R56_2	X56	Landrace	LN	Root	2	P07
LN_R56_3	X56	Landrace	LN	Root	3	P07
LN_R57_1	X57	Landrace	LN	Root	1	P07
LN_R57_2	X57	Landrace	LN	Root	2	P07
LN_R57_3	X57	Landrace	LN	Root	3	P07
LN_R58_1	X58	Landrace	LN	Root	1	P02
LN_R58_2	X58	Landrace	LN	Root	2	P02
LN_R58_3	X58	Landrace	LN	Root	3	P02
LN_R59_1	X59	Landrace	LN	Root	1	P13
LN_R59_2	X59	Landrace	LN	Root	2	P13
LN_R59_3	X59	Landrace	LN	Root	3	P13
LN_R6_1	X6	Landrace	LN	Root	1	P02
LN_R6_2	X6	Landrace	LN	Root	2	P02
LN_R6_3	X6	Landrace	LN	Root	3	P02
LN_R60_1	X60	Landrace	LN	Root	1	P13
LN_R60_2	X60	Landrace	LN	Root	2	P13
LN_R60_3	X60	Landrace	LN	Root	3	P13
LN_R61_1	X61	Landrace	LN	Root	1	P07
LN_R61_2	X61	Landrace	LN	Root	2	P07
LN_R61_3	X61	Landrace	LN	Root	3	P07
LN_R62_1	X62	Landrace	LN	Root	1	P02
LN_R62_2	X62	Landrace	LN	Root	2	P02
LN_R62_3	X62	Landrace	LN	Root	3	P02
