SampleID	Genotype	Germplasm	Treatment	Compartment	Block	Plot
CK_R128_3	X128	Teosinte	CK	Root	3	P05
CK_R129_1	X129	Teosinte	CK	Root	1	P05
CK_R129_2	X129	Teosinte	CK	Root	2	P05
CK_R129_3	X129	Teosinte	CK	Root	3	P05
CK_R13_1	X13	Landrace	CK	Root	1	P08
CK_R13_2	X13	Landrace	CK	Root	2	P08
CK_R13_3	X13	Landrace	CK	Root	3	P08
CK_R14_1	X14	Landrace	CK	Root	1	P14
CK_R14_2	X14	Landrace	CK	Root	2	P14
CK_R14_3	X14	Landrace	CK	Root	3	P14
CK_R15_1	X15	Landrace	CK	Root	1	P11
CK_R15_2	X15	Landrace	CK	Root	2	P11
CK_R15_3	X15	Landrace	CK	Root	3	P11
CK_R16_1	X16	Landrace	CK	Root	1	P11
CK_R16_2	X16	Landrace	CK	Root	2	P11
CK_R16_3	X16	Landrace	CK	Root	3	P11
CK_R17_1	X17	Landrace	CK	Root	1	P05
CK_R17_2	X17	Landrace	CK	Root	2	P05
CK_R17_3	X17	Landrace	CK	Root	3	P05
CK_R18_1	X18	Landrace	CK	Root	1	P08
CK_R18_2	X18	Landrace	CK	Root	2	P08
CK_R18_3	X18	Landrace	CK	Root	3	P08
CK_R19_1	X19	Landrace	CK	Root	1	P11
CK_R19_2	X19	Landrace	CK	Root	2	P11
CK_R19_3	X19	Landrace	CK	Root	3	P11
CK_R2_1	X2	Landrace	CK	Root	1	P14
CK_R2_2	X2	Landrace	CK	Root	2	P14
CK_R2_3	X2	Landrace	CK	Root	3	P14
CK_R20_1	X20	Landrace	CK	Root	1	P11
CK_R20_2	X20	Landrace	CK	Root	2	P11
CK_R20_3	X20	Landrace	CK	Root	3	P11
CK_R21_1	X21	Landrace	CK	Root	1	P11
CK_R21_2	X21	Landrace	CK	Root	2	P11
CK_R21_3	X21	Landrace	CK	Root	3	P11
CK_R22_1	X22	Landrace	CK	Root	1	P14
CK_R22_2	X22	Landrace	CK	Root	2	P14
CK_R22_3	X22	Landrace	CK	Root	3	P14
CK_R23_1	X23	Landrace	CK	Root	1	P08
CK_R23_2	X23	Landrace	CK	Root	2	P08
CK_R23_3	X23	Landrace	CK	Root	3	P08
CK_R24_1	X24	Landrace	CK	Root	1	P14
CK_R24_2	X24	Landrace	CK	Root	2	P14
CK_R24_3	X24	Landrace	CK	Root	3	P14
CK_R25_1	X25	Landrace	CK	Root	1	P14
CK_R25_2	X25	Landrace	CK	Root	2	P14
CK_R25_3	X25	Landrace	CK	Root	3	P14
CK_R26_1	X26	Landrace	CK	Root	1	P08
CK_R26_2	X26	Landrace	CK	Root	2	P08
CK_R26_3	X26	Landrace	CK	Root	3	P08
CK_R27_1	X27	Landrace	CK	Root	1	P08
CK_R27_2	X27	Landrace	CK	Root	2	P08
CK_R27_3	X27	Landrace	CK	Root	3	P08
CK_R28_1	X28	Landrace	CK	Root	1	P11
CK_R28_2	X28	Landrace	CK	Root	2	P11
CK_R28_3	X28	Landrace	CK	Root	3	P11
CK_R29_1	X29	Landrace	CK	Root	1	P05
CK_R29_2	X29	Landrace	CK	Root	2	P05
CK_R29_3	X29	Landrace	CK	Root	3	P05
CK_R3_1	X3	Landrace	CK	Root	1	P05
CK_R3_2	X3	Landrace	CK	Root	2	P05
CK_R3_3	X3	Landrace	CK	Root	3	P05
CK_R30_1	X30	Landrace	CK	Root	1	P05
CK_R30_2	X30	Landrace	CK	Root	2	P05
CK_R30_3	X30	Landrace	CK	Root	3	P05
CK_R31_1	X31	Landrace	CK	Root	1	P05
CK_R31_2	X31	Landrace	CK	Root	2	P05
CK_R31_3	X31	Landrace	CK	Root	3	P05
CK_R32_1	X32	Landrace	CK	Root	1	P08
CK_R32_2	X32	Landrace	CK	Root	2	P08
CK_R32_3	X32	Landrace	CK	Root	3	P08
CK_R33_1	X33	Landrace	CK	Root	1	P08
CK_R33_2	X33	Landrace	CK	Root	2	P08
CK_R33_3	X33	Landrace	CK	Root	3	P08
CK_R34_1	X34	Landrace	CK	Root	1	P14
CK_R34_2	X34	Landrace	CK	Root	2	P14
CK_R34_3	X34	Landrace	CK	Root	3	P14
CK_R35_1	X35	Landrace	CK	Root	1	P05
CK_R35_2	X35	Landrace	CK	Root	2	P05
CK_R35_3	X35	Landrace	CK	Root	3	P05
CK_R36_1	X36	Landrace	CK	Root	1	P11
CK_R36_2	X36	Landrace	CK	Root	2	P11
CK_R36_3	X36	Landrace	CK	Root	3	P11
CK_R37_1	X37	Landrace	CK	Root	1	P14
CK_R37_2	X37	Landrace	CK	Root	2	P14
CK_R37_3	X37	Landrace	CK	Root	3	P14
CK_R38_1	X38	Landrace	CK	Root	1	P05
CK_R38_2	X38	Landrace	CK	Root	2	P05
CK_R38_3	X38	Landrace	CK	Root	3	P05
CK_R39_1	X39	Landrace	CK	Root	1	P14
CK_R39_2	X39	Landrace	CK	Root	2	P14
CK_R39_3	X39	Landrace	CK	Root	3	P14
CK_R4_1	X4	Landrace	CK	Root	1	P11
CK_R4_2	X4	Landrace	CK	Root	2	P11
CK_R4_3	X4	Landrace	CK	Root	3	P11
CK_R40_1	X40	Landrace	CK	Root	1	P11
CK_R40_2	X40	Landrace	CK	Root	2	P11
CK_R40_3	X40	Landrace	CK	Root	3	P11
CK_R41_1	X41	Landrace	CK	Root	1	P05
CK_R41_2	X41	Landrace	CK	Root	2	P05
CK_R41_3	X41	Landrace	CK	Root	3	P05
CK_R42_1	X42	Landrace	CK	Root	1	P08
CK_R42_2	X42	Landrace	CK	Root	2	P08
CK_R42_3	X42	Landrace	CK	Root	3	P08
CK_R43_1	X43	Landrace	CK	Root	1	P11
CK_R43_2	X43	Landrace	CK	Root	2	P11
