Group.1	JH15.1	JH15.10	JH15.100	JH15.101	JH15.102	JH15.103	JH15.104	JH15.105	JH15.107	JH15.108	JH15.109	JH15.110	JH15.111	JH15.113	JH15.115	JH15.116	JH15.117	JH15.12	JH15.120	JH15.14	JH15.15	JH15.2	JH15.21	JH15.22	JH15.23	JH15.24	JH15.25	JH15.26	JH15.28	JH15.29	JH15.30	JH15.31	JH15.32	JH15.33	JH15.34	JH15.35	JH15.38	JH15.39	JH15.40	JH15.43	JH15.45	JH15.48	JH15.49	JH15.50	JH15.51	JH15.53	JH15.54	JH15.56	JH15.57	JH15.58	JH15.59	JH15.6	JH15.60	JH15.64	JH15.65	JH15.66	JH15.68	JH15.69	JH15.7	JH15.70	JH15.71	JH15.72	JH15.74	JH15.76	JH15.77	JH15.78	JH15.79	JH15.83	JH15.86	JH15.87	JH15.88	JH15.89	JH15.9	JH15.91	JH15.92	JH15.95	JH15.96	JH15.97	JH15.98	HvHEB100	HvHEB101	HvHEB104	HvHEB106	HvHEB109	HvHEB112	HvHEB115	HvHEB116	HvHEB120	HvHEB121	HvHEB122	HvHEB123	HvHEB127	HvHEB138	HvHEB140	HvHEB141	HvHEB142	HvHEB144	HvHEB145	HvHEB147	HvHEB149	HvHEB150	HvHEB151	HvHEB152	HvHEB154	HvHEB155	HvHEB156	HvHEB157	HvHEB163	HvHEB164	HvHEB166	HvHEB168	HvHEB169	HvHEB17	HvHEB173	HvHEB175	HvHEB176	HvHEB177	HvHEB179	HvHEB18	HvHEB181	HvHEB182	HvHEB183	HvHEB186	HvHEB187	HvHEB190	HvHEB191	HvHEB195	HvHEB198	HvHEB200	HvHEB203	HvHEB204	HvHEB205	HvHEB208	HvHEB210	HvHEB211	HvHEB215	HvHEB216	HvHEB219	HvHEB22	HvHEB220	HvHEB222	HvHEB223	HvHEB224	HvHEB231	HvHEB232	HvHEB233	HvHEB235	HvHEB236	HvHEB239	HvHEB240	HvHEB241	HvHEB244	HvHEB245	HvHEB247	HvHEB253	HvHEB254	HvHEB257	HvHEB259	HvHEB261	HvHEB262	HvHEB264	HvHEB266	HvHEB267	HvHEB30	HvHEB36	HvHEB4	HvHEB40	HvHEB42	HvHEB43	HvHEB48	HvHEB53	HvHEB59	HvHEB60	HvHEB63	HvHEB74	HvHEB75	HvHEB76	HvHEB77	HvHEB78	HvHEB79	HvHEB80	HvHEB81	HvHEB86	HvHEB87	HvHEB89	HvHEB90	HvHEB92	HvHEB93	HvHEB97	HvHEB98
Gaiellales	0.014811321	0.015943396	0.008773585	0.015377358	0.010754717	0.016981132	0.018679245	0.01	0.014339623	0.02	0.010566038	0.010283019	0.014528302	0.014528302	0.010943396	0.014056604	0.011132075	0.013113208	0.01490566	0.014245283	0.052264151	0.014433962	0.023584906	0.022169811	0.06009434	0.06745283	0.018396226	0.017830189	0.015283019	0.013867925	0.046132075	0.015	0.014716981	0.01509434	0.013301887	0.012641509	0.020283019	0.01254717	0.014811321	0.009716981	0.012075472	0.006886792	0.006981132	0.01009434	0.010566038	0.009811321	0.016415094	0.01254717	0.064056604	0.01009434	0.009528302	0.018679245	0.009811321	0.011698113	0.016132075	0.067924528	0.018679245	0.01490566	0.020471698	0.012924528	0.011226415	0.01990566	0.010943396	0.015188679	0.045471698	0.007358491	0.046132075	0.017830189	0.014528302	0.012924528	0.009245283	0.053113208	0.012830189	0.014811321	0.053113208	0.008773585	0.015660377	0.018867925	0.013113208	0.003962264	0.004716981	0.005377358	0.006415094	0.005943396	0.010849057	0.005	0.005566038	0.009056604	0.024811321	0.009811321	0.01245283	0.007924528	0.008773585	0.009622642	0.005471698	0.005754717	0.013490566	0.009339623	0.008773585	0.005943396	0.002735849	0.004716981	0.005943396	0.013301887	0.011132075	0.01254717	0.011320755	0.008867925	0.009528302	0.027358491	0.009716981	0.00490566	0.003679245	0.008396226	0.005566038	0.005754717	0.009811321	0.009056604	0.007075472	0.015377358	0.008679245	0.008584906	0.007264151	0.008962264	0.006415094	0.005566038	0.009716981	0.007924528	0.006132075	0.01509434	0.005471698	0.007641509	0.005188679	0.008301887	0.008018868	0.00509434	0.011226415	0.008018868	0.012358491	0.008018868	0.006698113	0.004245283	0.008773585	0.004716981	0.004622642	0.009433962	0.01	0.007735849	0.006886792	0.007358491	0.005471698	0.006509434	0.006415094	0.004622642	0.004622642	0.00745283	0.006320755	0.004622642	0.00745283	0.003113208	0.011132075	0.009811321	0.010754717	0.011792453	0.005566038	0.004528302	0.009245283	0.003301887	0.012641509	0.008962264	0.024528302	0.018490566	0.013018868	0.006509434	0.015943396	0.044716981	0.016509434	0.017264151	0.006320755	0.004339623	0.010188679	0.011037736	0.011981132	0.006037736	0.006792453	0.005188679	0.01	0.004339623	0.006415094	0.009622642
Paenibacillales	0.004056604	0.009339623	0.001509434	0.007075472	0.013773585	0.001415094	0.008962264	0.007075472	0.005471698	0.017924528	0.017830189	0.018207547	0.009150943	0.006698113	0.00745283	0.009622642	0.007924528	0.009150943	0.017358491	0.004245283	0.00509434	0.004056604	0.015754717	0.008773585	0.004528302	0.001792453	0.004622642	0.020943396	0.008396226	0.008773585	0.008018868	0.012075472	0.017169811	0.009339623	0.004716981	0.00509434	0.013584906	0.003679245	0.016603774	0.004716981	0.006415094	0.007264151	0.011509434	0.020377358	0.027358491	0.008207547	0.020943396	0.011320755	0.002830189	0.015849057	0.008773585	0.024339623	0.004339623	0.004622642	0.018113208	0.001603774	0.015849057	0.005849057	0.010283019	0.013113208	0.005754717	0.008207547	0.012169811	0.008679245	0.004245283	0.003679245	0.003867925	0.014056604	0.004811321	0.006981132	0.010754717	0.002641509	0.007924528	0.010377358	0.003867925	0.003113208	0.009622642	0.020660377	0.00990566	0.028773585	0.011886792	0.021320755	0.02509434	0.014056604	0.030471698	0.001792453	0.024245283	0.028113208	0.009056604	0.015471698	0.027924528	0.009811321	0.023867925	0.018584906	0.011981132	0.019528302	0.023867925	0.015849057	0.011320755	0.074339623	0.035849057	0.085471698	0.043207547	0.026037736	0.010471698	0.013679245	0.018679245	0.01490566	0.024150943	0.01245283	0.013867925	0.021132075	0.033867925	0.030283019	0.018490566	0.013679245	0.01745283	0.015754717	0.014811321	0.018867925	0.023490566	0.019528302	0.029056604	0.021603774	0.011037736	0.009056604	0.007358491	0.014433962	0.015188679	0.019245283	0.014056604	0.009056604	0.013018868	0.017641509	0.026698113	0.012830189	0.018018868	0.022735849	0.033301887	0.011792453	0.025188679	0.019622642	0.015943396	0.01009434	0.039433962	0.019245283	0.023584906	0.019622642	0.023396226	0.011132075	0.014056604	0.014528302	0.003679245	0.009622642	0.009433962	0.012641509	0.008301887	0.021226415	0.017735849	0.002075472	0.015566038	0.020283019	0.021603774	0.013867925	0.032830189	0.005660377	0.006415094	0.010188679	0.023301887	0.015377358	0.025754717	0.012830189	0.01490566	0.025	0.000188679	0.000377358	9.43E-05	0.000188679	0.00754717	0.007075472	0.012641509	0.017924528	0.030754717	0.028962264	0.020660377	0.008962264	0.028867925	0.02754717	0.033018868	0.013113208
Pedosphaerales	0.067830189	0.011226415	0.01745283	0.009716981	0.011981132	0.071792453	0.012830189	0.01245283	0.016981132	0.011981132	0.007830189	0.023396226	0.015849057	0.01745283	0.01	0.010660377	0.007358491	0.011603774	0.018584906	0.016792453	0.036981132	0.018867925	0.02009434	0.012924528	0.037924528	0.053867925	0.012641509	0.014150943	0.024056604	0.030660377	0.055754717	0.024433962	0.012735849	0.041037736	0.012641509	0.012358491	0.011698113	0.04745283	0.028301887	0.02254717	0.016415094	0.013867925	0.01490566	0.010471698	0.009433962	0.015471698	0.009056604	0.013962264	0.05990566	0.011320755	0.011226415	0.013679245	0.038018868	0.010188679	0.02490566	0.065188679	0.019528302	0.015943396	0.010471698	0.015188679	0.035	0.018396226	0.015188679	0.005377358	0.051132075	0.020566038	0.055660377	0.013679245	0.01245283	0.007358491	0.01245283	0.074622642	0.02509434	0.007924528	0.068962264	0.017735849	0.011415094	0.018584906	0.007075472	0.008867925	0.009056604	0.011132075	0.016037736	0.008867925	0.014433962	0.023301887	0.019433962	0.008584906	0.014339623	0.015283019	0.019716981	0.005471698	0.007830189	0.007169811	0.003867925	0.008490566	0.009433962	0.004056604	0.006415094	0.014433962	0.01009434	0.013113208	0.007358491	0.018207547	0.010849057	0.011415094	0.010188679	0.008584906	0.019716981	0.011226415	0.006603774	0.004528302	0.012169811	0.011226415	0.006415094	0.008018868	0.010188679	0.00509434	0.013018868	0.013773585	0.008679245	0.007830189	0.004150943	0.010943396	0.005660377	0.005754717	0.003962264	0.00990566	0.006037736	0.022169811	0.004716981	0.009433962	0.006981132	0.010471698	0.009622642	0.011226415	0.014339623	0.009339623	0.025	0.007641509	0.013773585	0.008962264	0.010188679	0.005	0.011603774	0.006886792	0.007075472	0.008396226	0.017264151	0.006886792	0.006226415	0.007358491	0.003773585	0.008113208	0.008962264	0.006037736	0.012735849	0.008490566	0.007075472	0.017169811	0.014622642	0.008867925	0.01754717	0.008490566	0.016509434	0.007830189	0.012830189	0.008207547	0.009339623	0.012358491	0.020283019	0.011886792	0.011698113	0.007735849	0.03990566	0.046132075	0.054056604	0.04245283	0.010471698	0.007735849	0.019339623	0.012075472	0.008773585	0.015566038	0.014433962	0.00990566	0.006226415	0.010283019	0.012264151	0.016226415
Gemmatimonadales	0.030754717	0.010471698	0.017358491	0.014056604	0.008018868	0.037830189	0.01509434	0.008584906	0.014716981	0.014056604	0.016698113	0.012169811	0.015566038	0.014622642	0.010754717	0.01254717	0.008867925	0.012641509	0.015188679	0.015471698	0.065849057	0.01509434	0.011037736	0.013962264	0.086415094	0.098207547	0.018584906	0.010943396	0.015377358	0.019150943	0.061320755	0.019245283	0.016981132	0.023867925	0.01754717	0.014622642	0.020660377	0.033773585	0.020377358	0.011698113	0.010754717	0.011132075	0.006981132	0.015566038	0.010660377	0.010754717	0.013490566	0.015	0.083679245	0.008584906	0.017075472	0.016415094	0.019528302	0.01490566	0.012358491	0.070283019	0.015471698	0.01509434	0.019150943	0.017735849	0.014433962	0.02490566	0.013584906	0.013018868	0.068773585	0.01509434	0.086320755	0.015943396	0.014716981	0.012264151	0.012735849	0.072924528	0.018207547	0.012169811	0.079716981	0.017358491	0.012830189	0.014716981	0.013773585	0.016886792	0.013301887	0.014716981	0.019528302	0.011037736	0.015943396	0.020471698	0.01509434	0.008301887	0.015188679	0.021415094	0.018962264	0.010754717	0.008301887	0.014056604	0.005283019	0.009150943	0.013301887	0.00754717	0.010471698	0.016415094	0.008490566	0.013584906	0.015188679	0.014528302	0.014433962	0.012641509	0.015754717	0.010943396	0.025849057	0.015849057	0.00509434	0.012169811	0.007641509	0.015283019	0.010754717	0.009245283	0.015377358	0.016981132	0.016886792	0.017924528	0.011226415	0.011698113	0.014056604	0.016886792	0.007075472	0.007735849	0.004622642	0.016886792	0.009811321	0.024622642	0.00509434	0.014433962	0.010471698	0.010849057	0.013490566	0.012358491	0.01254717	0.017075472	0.021981132	0.012641509	0.014622642	0.009339623	0.012169811	0.006603774	0.011320755	0.007075472	0.009245283	0.009811321	0.016320755	0.007924528	0.006886792	0.008490566	0.005754717	0.013113208	0.007641509	0.008207547	0.011509434	0.007169811	0.007830189	0.012075472	0.01490566	0.010283019	0.016132075	0.01509434	0.013113208	0.00745283	0.01745283	0.007924528	0.012075472	0.015	0.018018868	0.013018868	0.012358491	0.010943396	0.048962264	0.065377358	0.059528302	0.052830189	0.009245283	0.011132075	0.01754717	0.013207547	0.015377358	0.015566038	0.02254717	0.012924528	0.014056604	0.017075472	0.018301887	0.016698113
Chthoniobacterales	0.020283019	0.011792453	0.008490566	0.01254717	0.016226415	0.018867925	0.01	0.006415094	0.009528302	0.009245283	0.012075472	0.012924528	0.013396226	0.011509434	0.006037736	0.010377358	0.011226415	0.013113208	0.009150943	0.014528302	0.04509434	0.013018868	0.018584906	0.009716981	0.037924528	0.032830189	0.015377358	0.023962264	0.013962264	0.022169811	0.052169811	0.018396226	0.013207547	0.023301887	0.02	0.016509434	0.010849057	0.021132075	0.017075472	0.013490566	0.013773585	0.011132075	0.009716981	0.00754717	0.006320755	0.015943396	0.008962264	0.013679245	0.041603774	0.008301887	0.017264151	0.019245283	0.014056604	0.008113208	0.019622642	0.048962264	0.013490566	0.010943396	0.012735849	0.012641509	0.016509434	0.01	0.009150943	0.012075472	0.046037736	0.006509434	0.031226415	0.011320755	0.013490566	0.006132075	0.006509434	0.05	0.012641509	0.010849057	0.029150943	0.007830189	0.008584906	0.008867925	0.007735849	0.024339623	0.023207547	0.029056604	0.034433962	0.021320755	0.033679245	0.028301887	0.029433962	0.023113208	0.020188679	0.018207547	0.027830189	0.012735849	0.015849057	0.015849057	0.025566038	0.017735849	0.015471698	0.011226415	0.019716981	0.010188679	0.007169811	0.019056604	0.008962264	0.019056604	0.015849057	0.023679245	0.014433962	0.02254717	0.018584906	0.025283019	0.020754717	0.015377358	0.018867925	0.017735849	0.013773585	0.016037736	0.022830189	0.021415094	0.024433962	0.034056604	0.018113208	0.013679245	0.016132075	0.016698113	0.01990566	0.021320755	0.015849057	0.02245283	0.031792453	0.023773585	0.008584906	0.014622642	0.016320755	0.018584906	0.016320755	0.013113208	0.013867925	0.036792453	0.037924528	0.016415094	0.013018868	0.013773585	0.017830189	0.00754717	0.016981132	0.017830189	0.020283019	0.013773585	0.017075472	0.013207547	0.009811321	0.01	0.01	0.018396226	0.011886792	0.014339623	0.026603774	0.015188679	0.015377358	0.027169811	0.023773585	0.018301887	0.020471698	0.021132075	0.028867925	0.038679245	0.019150943	0.022924528	0.019056604	0.026792453	0.030754717	0.029433962	0.023867925	0.023679245	0.030849057	0.036415094	0.037075472	0.032075472	0.025566038	0.014339623	0.01990566	0.019622642	0.022264151	0.034245283	0.011226415	0.024056604	0.031415094	0.018301887	0.024811321	0.036698113
Vicinamibacterales	0.016981132	0.010188679	0.001981132	0.010660377	0.01	0.012735849	0.00490566	0.003018868	0.008773585	0.007075472	0.003962264	0.011415094	0.005849057	0.006698113	0.002264151	0.00754717	0.010188679	0.008867925	0.005566038	0.007169811	0.034433962	0.012169811	0.010283019	0.006132075	0.021226415	0.024339623	0.004622642	0.011132075	0.005754717	0.023018868	0.035377358	0.011509434	0.006132075	0.010849057	0.009622642	0.006698113	0.004339623	0.008490566	0.011603774	0.008113208	0.005188679	0.005	0.004056604	0.002830189	0.001981132	0.006981132	0.006415094	0.006415094	0.025943396	0.006132075	0.008867925	0.011509434	0.004528302	0.004245283	0.012830189	0.021886792	0.004716981	0.00509434	0.008018868	0.007641509	0.011226415	0.006886792	0.006132075	0.007264151	0.037264151	0.004622642	0.038679245	0.006886792	0.005849057	0.005754717	0.004811321	0.035754717	0.01009434	0.004339623	0.018679245	0.002264151	0.006981132	0.006886792	0.003962264	0.069622642	0.038396226	0.021698113	0.056226415	0.028584906	0.049056604	0.038113208	0.044716981	0.030377358	0.042358491	0.015188679	0.058018868	0.021981132	0.024339623	0.017169811	0.034811321	0.024339623	0.033113208	0.012924528	0.028207547	0.017264151	0.014811321	0.038773585	0.023962264	0.028113208	0.026603774	0.038584906	0.024056604	0.038396226	0.043490566	0.040660377	0.039150943	0.025	0.022264151	0.026226415	0.015566038	0.030660377	0.038773585	0.028018868	0.026698113	0.038207547	0.032264151	0.025943396	0.021981132	0.025660377	0.02509434	0.045377358	0.033867925	0.038113208	0.028113208	0.058962264	0.015471698	0.020566038	0.031132075	0.027264151	0.03	0.025754717	0.030943396	0.052735849	0.063679245	0.026792453	0.026981132	0.030943396	0.033679245	0.021415094	0.018867925	0.025566038	0.026037736	0.014339623	0.038962264	0.025188679	0.012075472	0.020283019	0.01745283	0.020471698	0.022924528	0.018773585	0.035660377	0.033207547	0.016509434	0.030660377	0.041603774	0.03009434	0.030660377	0.026320755	0.024433962	0.033396226	0.020188679	0.035377358	0.031509434	0.029339623	0.044056604	0.02990566	0.026698113	0.030566038	0.12254717	0.065	0.105943396	0.135471698	0.055943396	0.040471698	0.043773585	0.042735849	0.038773585	0.05	0.023396226	0.056792453	0.037075472	0.030660377	0.050471698	0.052075472
Propionibacteriales	0.013962264	0.060849057	0.025188679	0.041132075	0.040283019	0.012924528	0.05254717	0.043207547	0.047075472	0.046226415	0.046981132	0.026981132	0.050471698	0.058679245	0.055471698	0.040660377	0.04254717	0.037075472	0.038679245	0.045849057	0.015377358	0.021037736	0.040283019	0.038679245	0.014622642	0.014339623	0.04745283	0.026792453	0.038301887	0.024150943	0.013867925	0.025471698	0.033773585	0.027924528	0.045660377	0.053679245	0.040660377	0.013679245	0.027641509	0.03990566	0.031698113	0.033773585	0.020660377	0.042264151	0.046886792	0.02509434	0.037735849	0.043584906	0.012075472	0.046132075	0.047641509	0.028490566	0.023679245	0.054528302	0.032264151	0.010943396	0.048867925	0.045849057	0.046226415	0.036037736	0.026132075	0.054716981	0.029622642	0.040660377	0.011415094	0.034339623	0.009245283	0.060188679	0.042075472	0.05509434	0.05245283	0.011603774	0.028113208	0.062735849	0.012924528	0.036698113	0.038207547	0.055566038	0.060471698	0.012641509	0.017358491	0.010660377	0.008962264	0.011886792	0.019339623	0.003773585	0.011509434	0.01990566	0.04245283	0.025566038	0.018584906	0.028207547	0.029245283	0.032924528	0.019622642	0.020660377	0.022075472	0.033396226	0.036698113	0.008018868	0.011415094	0.012358491	0.016886792	0.019716981	0.025283019	0.023018868	0.028396226	0.017735849	0.017169811	0.04254717	0.031415094	0.021132075	0.011603774	0.017264151	0.020943396	0.018301887	0.021132075	0.016509434	0.011792453	0.022735849	0.015566038	0.02245283	0.015943396	0.014339623	0.033584906	0.019433962	0.013018868	0.015471698	0.018584906	0.015849057	0.03	0.023867925	0.018207547	0.022735849	0.021226415	0.021698113	0.018867925	0.020377358	0.01754717	0.028773585	0.02990566	0.025943396	0.029433962	0.023679245	0.013396226	0.026132075	0.031886792	0.033679245	0.021509434	0.02254717	0.019622642	0.023773585	0.028018868	0.017641509	0.027264151	0.030283019	0.012924528	0.015188679	0.028301887	0.007264151	0.019433962	0.051132075	0.01754717	0.045471698	0.018018868	0.018584906	0.022641509	0.005660377	0.041509434	0.021509434	0.050566038	0.056509434	0.050377358	0.012924528	0.002924528	0.016698113	0.006981132	0.005188679	0.016698113	0.014716981	0.032358491	0.03754717	0.018490566	0.015377358	0.024528302	0.009056604	0.019339623	0.014528302	0.014622642	0.015283019
Micrococcales	0.018679245	0.062264151	0.032924528	0.047924528	0.050188679	0.008773585	0.047924528	0.056132075	0.04245283	0.044245283	0.053207547	0.049528302	0.044716981	0.055754717	0.100754717	0.039433962	0.053679245	0.024245283	0.049433962	0.035754717	0.012169811	0.043018868	0.045	0.039716981	0.014245283	0.009056604	0.037075472	0.025943396	0.036509434	0.025566038	0.012169811	0.026792453	0.038867925	0.030188679	0.035471698	0.03754717	0.035188679	0.011792453	0.042358491	0.041603774	0.037169811	0.038113208	0.028207547	0.030188679	0.026981132	0.038773585	0.06	0.043207547	0.006226415	0.046415094	0.063113208	0.026603774	0.022358491	0.077830189	0.024528302	0.008962264	0.028679245	0.03254717	0.039245283	0.044811321	0.030660377	0.050754717	0.026132075	0.043490566	0.012641509	0.024528302	0.005377358	0.04745283	0.036037736	0.045943396	0.03254717	0.005283019	0.039433962	0.044811321	0.013490566	0.039622642	0.041509434	0.032830189	0.037830189	0.012641509	0.009245283	0.020283019	0.009433962	0.007641509	0.024528302	0.002735849	0.012924528	0.017735849	0.053962264	0.032075472	0.016886792	0.04509434	0.020566038	0.026886792	0.021509434	0.01509434	0.016226415	0.02	0.024056604	0.012924528	0.027169811	0.013301887	0.016320755	0.020754717	0.018490566	0.027075472	0.02509434	0.00990566	0.024716981	0.037169811	0.025377358	0.013679245	0.02509434	0.012830189	0.028584906	0.020471698	0.024716981	0.021415094	0.056509434	0.02	0.014622642	0.026981132	0.012075472	0.020283019	0.028490566	0.014150943	0.031226415	0.019056604	0.017264151	0.016037736	0.021698113	0.035	0.010754717	0.017641509	0.011792453	0.026037736	0.056603774	0.025	0.015754717	0.025849057	0.039811321	0.021415094	0.021792453	0.027264151	0.022169811	0.032641509	0.028490566	0.033773585	0.016037736	0.031037736	0.013396226	0.013679245	0.02754717	0.025471698	0.021320755	0.018584906	0.007641509	0.01254717	0.020283019	0.013962264	0.014528302	0.053962264	0.024716981	0.04	0.012924528	0.015849057	0.026132075	0.014339623	0.041037736	0.02490566	0.04254717	0.033584906	0.029528302	0.013867925	0.005283019	0.014622642	0.009528302	0.006698113	0.022075472	0.016792453	0.02245283	0.024716981	0.026226415	0.007169811	0.018301887	0.00990566	0.023584906	0.025849057	0.008867925	0.010943396
Glycomycetales	0.003018868	0.008490566	0.002924528	0.011792453	0.025283019	0.001603774	0.011509434	0.003773585	0.009622642	0.037830189	0.042924528	0.017830189	0.009245283	0.009339623	0.000283019	0.015754717	0.018396226	0.009433962	0.012830189	0.003679245	0.003867925	0.00245283	0.016415094	0.021037736	9.43E-05	0	0.008773585	0.016792453	0.003490566	0.012264151	0.00245283	0.040377358	0.008867925	0.001698113	0.011226415	0.009622642	0.075660377	0.007075472	0.01509434	0.006037736	0.005660377	0.010283019	0.002075472	0.031698113	0.023396226	0.010377358	0.025849057	0.013962264	0.000377358	0.014528302	0.010377358	0.021037736	0.003773585	0.008867925	0.01245283	0.000188679	0.013867925	0.013490566	0.021698113	0.028962264	0.000377358	0.009622642	0.042075472	0.024433962	9.43E-05	0.014811321	0	0.020188679	0.035377358	0.039622642	0.029528302	0.000566038	0.013962264	0.010188679	0	0.004622642	0.021886792	0.028301887	0.023584906	0.019716981	0.016320755	0.020471698	0.02990566	0.152830189	0.062358491	0.000660377	0.009433962	0.085754717	0.045754717	0.053301887	0.048584906	0.024150943	0.05254717	0.08	0.030471698	0.051698113	0.109339623	0.076132075	0.024245283	0.006886792	0.035566038	0.098018868	0.078679245	0.112641509	0.060943396	0.063962264	0.044339623	0.195471698	0.103301887	0.074716981	0.03009434	0.039622642	0.009811321	0.101226415	0.065660377	0.050566038	0.017264151	0.015283019	0.003396226	0.065188679	0.043584906	0.029433962	0.03990566	0.051886792	0.035	0.050566038	0.079056604	0.01254717	0.053207547	0.031886792	0.054339623	0.018396226	0.048867925	0.041698113	0.048490566	0.040566038	0.07990566	0.016886792	0.001886792	0.030471698	0.049528302	0.062641509	0.033396226	0.066509434	0.011320755	0.03009434	0.073867925	0.049056604	0.016792453	0.046886792	0.040188679	0.05754717	0.012169811	0.017641509	0.02254717	0.016415094	0.030754717	0.070188679	0.059433962	0.003679245	0.005377358	0.045849057	0.006981132	0.018773585	0.013490566	0.012924528	0.014245283	0.002924528	0.041698113	0.004716981	0.011132075	0.029716981	0.021037736	0.005566038	0	0.000188679	9.43E-05	0	0.009716981	0.010188679	0.040566038	0.053773585	0.035	0.028490566	0.018490566	0.007830189	0.062264151	0.027641509	0.03990566	0.018490566
Sphingobacteriales	0.095	0.033113208	0.153773585	0.038301887	0.027735849	0.076603774	0.049622642	0.028113208	0.029811321	0.026603774	0.034433962	0.041886792	0.039528302	0.041792453	0.038773585	0.033773585	0.048018868	0.094339623	0.04009434	0.050943396	0.039339623	0.050188679	0.028207547	0.022264151	0.046698113	0.030283019	0.036320755	0.049339623	0.04745283	0.053018868	0.031698113	0.054245283	0.065188679	0.052075472	0.046132075	0.064245283	0.040377358	0.081698113	0.039622642	0.062169811	0.064622642	0.043867925	0.043018868	0.033962264	0.03245283	0.044716981	0.033584906	0.044528302	0.031792453	0.039245283	0.044528302	0.042264151	0.092075472	0.038584906	0.043584906	0.035566038	0.053962264	0.084433962	0.046509434	0.040943396	0.090566038	0.036981132	0.069245283	0.037358491	0.032264151	0.083584906	0.036981132	0.040377358	0.028867925	0.027830189	0.039811321	0.024433962	0.074245283	0.040283019	0.032169811	0.13245283	0.03490566	0.036792453	0.040188679	0.036415094	0.043018868	0.095660377	0.017264151	0.022735849	0.022830189	0.021698113	0.051792453	0.031037736	0.010283019	0.028584906	0.024339623	0.021226415	0.049716981	0.030943396	0.041981132	0.020566038	0.040377358	0.033207547	0.033207547	0.075471698	0.100377358	0.080188679	0.05490566	0.031981132	0.027075472	0.040754717	0.035849057	0.009433962	0.009716981	0.024528302	0.029245283	0.016886792	0.126226415	0.015754717	0.057169811	0.025	0.023962264	0.031886792	0.091886792	0.008773585	0.011037736	0.025	0.039528302	0.046981132	0.05	0.033962264	0.041981132	0.04	0.029716981	0.011792453	0.039433962	0.022169811	0.025754717	0.018962264	0.044528302	0.011698113	0.020188679	0.015	0.037735849	0.010471698	0.024056604	0.023490566	0.028018868	0.035377358	0.065943396	0.050566038	0.020943396	0.018207547	0.014056604	0.027169811	0.037830189	0.024150943	0.027264151	0.073018868	0.051037736	0.042924528	0.033584906	0.017735849	0.022075472	0.09245283	0.013207547	0.011792453	0.018679245	0.016792453	0.021037736	0.016509434	0.019339623	0.086981132	0.022358491	0.018301887	0.025377358	0.011603774	0.069150943	0.049811321	0.002924528	0.004433962	0.00245283	0.001320755	0.047264151	0.050283019	0.056132075	0.027358491	0.019622642	0.032641509	0.035471698	0.00754717	0.019150943	0.066037736	0.018396226	0.032641509
Sphingomonadales	0.04509434	0.063113208	0.04754717	0.050754717	0.040377358	0.076132075	0.055471698	0.042924528	0.06254717	0.041415094	0.055943396	0.038962264	0.060377358	0.050471698	0.05990566	0.047169811	0.042830189	0.044056604	0.045377358	0.046226415	0.025849057	0.044811321	0.039056604	0.035377358	0.043584906	0.028396226	0.055943396	0.036509434	0.046603774	0.033490566	0.028396226	0.040377358	0.042735849	0.048301887	0.058490566	0.051037736	0.050283019	0.083584906	0.041509434	0.049150943	0.049528302	0.049528302	0.031509434	0.048207547	0.040849057	0.036603774	0.041981132	0.042264151	0.019811321	0.046320755	0.048962264	0.043018868	0.061603774	0.06	0.042924528	0.025188679	0.046698113	0.057264151	0.051320755	0.055188679	0.044245283	0.045	0.042641509	0.048113208	0.020566038	0.059716981	0.025660377	0.045283019	0.056509434	0.047169811	0.045471698	0.019433962	0.053679245	0.046320755	0.031509434	0.052358491	0.041132075	0.041226415	0.051132075	0.046792453	0.041226415	0.061603774	0.039150943	0.04	0.032924528	0.083301887	0.044622642	0.035188679	0.03245283	0.050660377	0.035283019	0.055283019	0.037169811	0.047641509	0.047924528	0.043301887	0.044716981	0.047358491	0.049245283	0.036320755	0.036509434	0.025283019	0.032358491	0.030283019	0.045943396	0.030377358	0.033301887	0.02254717	0.021603774	0.027735849	0.044245283	0.050566038	0.045283019	0.052075472	0.055283019	0.038301887	0.059716981	0.076603774	0.053113208	0.041603774	0.05490566	0.056981132	0.076226415	0.048679245	0.053962264	0.04	0.084622642	0.046603774	0.036603774	0.051415094	0.035849057	0.054056604	0.039245283	0.040566038	0.046698113	0.032641509	0.026226415	0.058962264	0.056981132	0.043301887	0.044056604	0.04754717	0.034245283	0.14245283	0.03254717	0.04009434	0.036037736	0.036037736	0.055	0.031981132	0.063490566	0.043207547	0.058867925	0.047169811	0.035660377	0.063679245	0.058301887	0.044245283	0.048867925	0.04254717	0.044622642	0.033113208	0.063679245	0.039245283	0.055188679	0.093962264	0.065754717	0.061037736	0.054622642	0.044339623	0.051037736	0.050283019	0.053396226	0.057075472	0.01	0.014339623	0.009245283	0.007169811	0.045188679	0.075943396	0.030566038	0.035754717	0.057641509	0.046509434	0.057358491	0.039528302	0.054339623	0.029339623	0.035943396	0.032169811
