"Group.1"	"Sample"	"value"	"SampleID"	"Genotype"	"Microhabitat"	"Description"	"Library"
"17.12"	"Micropepsales"	"JH15.104"	0.034245283	"JH15.104"	"52"	"RHIZO"	"B124.HID2"	"JH15"
"17.13"	"Gaiellales"	"JH15.104"	0.018679245	"JH15.104"	"52"	"RHIZO"	"B124.HID2"	"JH15"
"17.14"	"Paenibacillales"	"JH15.104"	0.008962264	"JH15.104"	"52"	"RHIZO"	"B124.HID2"	"JH15"
"17.15"	"Pedosphaerales"	"JH15.104"	0.012830189	"JH15.104"	"52"	"RHIZO"	"B124.HID2"	"JH15"
"17.16"	"Gemmatimonadales"	"JH15.104"	0.01509434	"JH15.104"	"52"	"RHIZO"	"B124.HID2"	"JH15"
"17.17"	"Chthoniobacterales"	"JH15.104"	0.01	"JH15.104"	"52"	"RHIZO"	"B124.HID2"	"JH15"
"17.18"	"Vicinamibacterales"	"JH15.104"	0.00490566	"JH15.104"	"52"	"RHIZO"	"B124.HID2"	"JH15"
"17.19"	"Propionibacteriales"	"JH15.104"	0.05254717	"JH15.104"	"52"	"RHIZO"	"B124.HID2"	"JH15"
"17.20"	"Micrococcales"	"JH15.104"	0.047924528	"JH15.104"	"52"	"RHIZO"	"B124.HID2"	"JH15"
"17.21"	"Glycomycetales"	"JH15.104"	0.011509434	"JH15.104"	"52"	"RHIZO"	"B124.HID2"	"JH15"
"17.22"	"Sphingobacteriales"	"JH15.104"	0.049622642	"JH15.104"	"52"	"RHIZO"	"B124.HID2"	"JH15"
"17.23"	"Sphingomonadales"	"JH15.104"	0.055471698	"JH15.104"	"52"	"RHIZO"	"B124.HID2"	"JH15"
"17.24"	"Chitinophagales"	"JH15.104"	0.033679245	"JH15.104"	"52"	"RHIZO"	"B124.HID2"	"JH15"
"17.25"	"Streptomycetales"	"JH15.104"	0.050377358	"JH15.104"	"52"	"RHIZO"	"B124.HID2"	"JH15"
"17.26"	"Xanthomonadales"	"JH15.104"	0.031509434	"JH15.104"	"52"	"RHIZO"	"B124.HID2"	"JH15"
"17.27"	"Rhizobiales"	"JH15.104"	0.119433962	"JH15.104"	"52"	"RHIZO"	"B124.HID2"	"JH15"
"17.28"	"Burkholderiales"	"JH15.104"	0.298867925	"JH15.104"	"52"	"RHIZO"	"B124.HID2"	"JH15"
"9"	"<0.5%"	"JH15.105"	0.027264151	"JH15.105"	"17"	"RHIZO"	"B124.BARKE"	"JH15"
"9.1"	"Frankiales"	"JH15.105"	0.006320755	"JH15.105"	"17"	"RHIZO"	"B124.BARKE"	"JH15"
"9.2"	"Rokubacteriales"	"JH15.105"	0.000660377	"JH15.105"	"17"	"RHIZO"	"B124.BARKE"	"JH15"
"9.3"	"Pyrinomonadales"	"JH15.105"	0.000943396	"JH15.105"	"17"	"RHIZO"	"B124.BARKE"	"JH15"
"9.4"	"Acidobacteriales"	"JH15.105"	0.007358491	"JH15.105"	"17"	"RHIZO"	"B124.BARKE"	"JH15"
"9.5"	"Subgroup_7"	"JH15.105"	0.001603774	"JH15.105"	"17"	"RHIZO"	"B124.BARKE"	"JH15"
"9.6"	"Pseudomonadales"	"JH15.105"	0.034339623	"JH15.105"	"17"	"RHIZO"	"B124.BARKE"	"JH15"
"9.7"	"Solirubrobacterales"	"JH15.105"	0.009716981	"JH15.105"	"17"	"RHIZO"	"B124.BARKE"	"JH15"
"9.8"	"Pseudonocardiales"	"JH15.105"	0.017264151	"JH15.105"	"17"	"RHIZO"	"B124.BARKE"	"JH15"
"9.9"	"Tepidisphaerales"	"JH15.105"	0.00490566	"JH15.105"	"17"	"RHIZO"	"B124.BARKE"	"JH15"
"9.10"	"Caulobacterales"	"JH15.105"	0.005754717	"JH15.105"	"17"	"RHIZO"	"B124.BARKE"	"JH15"
"9.11"	"Nitrososphaerales"	"JH15.105"	0.001132075	"JH15.105"	"17"	"RHIZO"	"B124.BARKE"	"JH15"
"9.12"	"Micropepsales"	"JH15.105"	0.023584906	"JH15.105"	"17"	"RHIZO"	"B124.BARKE"	"JH15"
"9.13"	"Gaiellales"	"JH15.105"	0.01	"JH15.105"	"17"	"RHIZO"	"B124.BARKE"	"JH15"
"9.14"	"Paenibacillales"	"JH15.105"	0.007075472	"JH15.105"	"17"	"RHIZO"	"B124.BARKE"	"JH15"
"9.15"	"Pedosphaerales"	"JH15.105"	0.01245283	"JH15.105"	"17"	"RHIZO"	"B124.BARKE"	"JH15"
"9.16"	"Gemmatimonadales"	"JH15.105"	0.008584906	"JH15.105"	"17"	"RHIZO"	"B124.BARKE"	"JH15"
"9.17"	"Chthoniobacterales"	"JH15.105"	0.006415094	"JH15.105"	"17"	"RHIZO"	"B124.BARKE"	"JH15"
"9.18"	"Vicinamibacterales"	"JH15.105"	0.003018868	"JH15.105"	"17"	"RHIZO"	"B124.BARKE"	"JH15"
"9.19"	"Propionibacteriales"	"JH15.105"	0.043207547	"JH15.105"	"17"	"RHIZO"	"B124.BARKE"	"JH15"
"9.20"	"Micrococcales"	"JH15.105"	0.056132075	"JH15.105"	"17"	"RHIZO"	"B124.BARKE"	"JH15"
