"Group.1"	"Sample"	"value"	"SampleID"	"Genotype"	"Microhabitat"	"Description"	"Library"
"40.5"	"Subgroup_7"	"JH15.66"	0.006415094	"JH15.66"	"Bulk"	" BULK"	"BULK"	"JH15"
"40.6"	"Pseudomonadales"	"JH15.66"	0	"JH15.66"	"Bulk"	" BULK"	"BULK"	"JH15"
"40.7"	"Solirubrobacterales"	"JH15.66"	0.033113208	"JH15.66"	"Bulk"	" BULK"	"BULK"	"JH15"
"40.8"	"Pseudonocardiales"	"JH15.66"	0.000849057	"JH15.66"	"Bulk"	" BULK"	"BULK"	"JH15"
"40.9"	"Tepidisphaerales"	"JH15.66"	0.020377358	"JH15.66"	"Bulk"	" BULK"	"BULK"	"JH15"
"40.10"	"Caulobacterales"	"JH15.66"	0.019716981	"JH15.66"	"Bulk"	" BULK"	"BULK"	"JH15"
"40.11"	"Nitrososphaerales"	"JH15.66"	0.010943396	"JH15.66"	"Bulk"	" BULK"	"BULK"	"JH15"
"40.12"	"Micropepsales"	"JH15.66"	0.047735849	"JH15.66"	"Bulk"	" BULK"	"BULK"	"JH15"
"40.13"	"Gaiellales"	"JH15.66"	0.067924528	"JH15.66"	"Bulk"	" BULK"	"BULK"	"JH15"
"40.14"	"Paenibacillales"	"JH15.66"	0.001603774	"JH15.66"	"Bulk"	" BULK"	"BULK"	"JH15"
"40.15"	"Pedosphaerales"	"JH15.66"	0.065188679	"JH15.66"	"Bulk"	" BULK"	"BULK"	"JH15"
"40.16"	"Gemmatimonadales"	"JH15.66"	0.070283019	"JH15.66"	"Bulk"	" BULK"	"BULK"	"JH15"
"40.17"	"Chthoniobacterales"	"JH15.66"	0.048962264	"JH15.66"	"Bulk"	" BULK"	"BULK"	"JH15"
"40.18"	"Vicinamibacterales"	"JH15.66"	0.021886792	"JH15.66"	"Bulk"	" BULK"	"BULK"	"JH15"
"40.19"	"Propionibacteriales"	"JH15.66"	0.010943396	"JH15.66"	"Bulk"	" BULK"	"BULK"	"JH15"
"40.20"	"Micrococcales"	"JH15.66"	0.008962264	"JH15.66"	"Bulk"	" BULK"	"BULK"	"JH15"
"40.21"	"Glycomycetales"	"JH15.66"	0.000188679	"JH15.66"	"Bulk"	" BULK"	"BULK"	"JH15"
"40.22"	"Sphingobacteriales"	"JH15.66"	0.035566038	"JH15.66"	"Bulk"	" BULK"	"BULK"	"JH15"
"40.23"	"Sphingomonadales"	"JH15.66"	0.025188679	"JH15.66"	"Bulk"	" BULK"	"BULK"	"JH15"
"40.24"	"Chitinophagales"	"JH15.66"	0.026603774	"JH15.66"	"Bulk"	" BULK"	"BULK"	"JH15"
"40.25"	"Streptomycetales"	"JH15.66"	0.002830189	"JH15.66"	"Bulk"	" BULK"	"BULK"	"JH15"
"40.26"	"Xanthomonadales"	"JH15.66"	0.015660377	"JH15.66"	"Bulk"	" BULK"	"BULK"	"JH15"
"40.27"	"Rhizobiales"	"JH15.66"	0.052358491	"JH15.66"	"Bulk"	" BULK"	"BULK"	"JH15"
"40.28"	"Burkholderiales"	"JH15.66"	0.045	"JH15.66"	"Bulk"	" BULK"	"BULK"	"JH15"
"7"	"<0.5%"	"JH15.68"	0.053018868	"JH15.68"	"17"	"RHIZO"	"B124.BARKE"	"JH15"
"7.1"	"Frankiales"	"JH15.68"	0.007169811	"JH15.68"	"17"	"RHIZO"	"B124.BARKE"	"JH15"
"7.2"	"Rokubacteriales"	"JH15.68"	0.000943396	"JH15.68"	"17"	"RHIZO"	"B124.BARKE"	"JH15"
"7.3"	"Pyrinomonadales"	"JH15.68"	0.001603774	"JH15.68"	"17"	"RHIZO"	"B124.BARKE"	"JH15"
"7.4"	"Acidobacteriales"	"JH15.68"	0.01245283	"JH15.68"	"17"	"RHIZO"	"B124.BARKE"	"JH15"
"7.5"	"Subgroup_7"	"JH15.68"	0.002641509	"JH15.68"	"17"	"RHIZO"	"B124.BARKE"	"JH15"
"7.6"	"Pseudomonadales"	"JH15.68"	0.006415094	"JH15.68"	"17"	"RHIZO"	"B124.BARKE"	"JH15"
"7.7"	"Solirubrobacterales"	"JH15.68"	0.012169811	"JH15.68"	"17"	"RHIZO"	"B124.BARKE"	"JH15"
"7.8"	"Pseudonocardiales"	"JH15.68"	0.019528302	"JH15.68"	"17"	"RHIZO"	"B124.BARKE"	"JH15"
"7.9"	"Tepidisphaerales"	"JH15.68"	0.010377358	"JH15.68"	"17"	"RHIZO"	"B124.BARKE"	"JH15"
"7.10"	"Caulobacterales"	"JH15.68"	0.008207547	"JH15.68"	"17"	"RHIZO"	"B124.BARKE"	"JH15"
"7.11"	"Nitrososphaerales"	"JH15.68"	0.003018868	"JH15.68"	"17"	"RHIZO"	"B124.BARKE"	"JH15"
"7.12"	"Micropepsales"	"JH15.68"	0.030754717	"JH15.68"	"17"	"RHIZO"	"B124.BARKE"	"JH15"
"7.13"	"Gaiellales"	"JH15.68"	0.018679245	"JH15.68"	"17"	"RHIZO"	"B124.BARKE"	"JH15"
"7.14"	"Paenibacillales"	"JH15.68"	0.015849057	"JH15.68"	"17"	"RHIZO"	"B124.BARKE"	"JH15"
"7.15"	"Pedosphaerales"	"JH15.68"	0.019528302	"JH15.68"	"17"	"RHIZO"	"B124.BARKE"	"JH15"
"7.16"	"Gemmatimonadales"	"JH15.68"	0.015471698	"JH15.68"	"17"	"RHIZO"	"B124.BARKE"	"JH15"
"7.17"	"Chthoniobacterales"	"JH15.68"	0.013490566	"JH15.68"	"17"	"RHIZO"	"B124.BARKE"	"JH15"
"7.18"	"Vicinamibacterales"	"JH15.68"	0.004716981	"JH15.68"	"17"	"RHIZO"	"B124.BARKE"	"JH15"
"7.19"	"Propionibacteriales"	"JH15.68"	0.048867925	"JH15.68"	"17"	"RHIZO"	"B124.BARKE"	"JH15"
"7.20"	"Micrococcales"	"JH15.68"	0.028679245	"JH15.68"	"17"	"RHIZO"	"B124.BARKE"	"JH15"
"7.21"	"Glycomycetales"	"JH15.68"	0.013867925	"JH15.68"	"17"	"RHIZO"	"B124.BARKE"	"JH15"
"7.22"	"Sphingobacteriales"	"JH15.68"	0.053962264	"JH15.68"	"17"	"RHIZO"	"B124.BARKE"	"JH15"
"7.23"	"Sphingomonadales"	"JH15.68"	0.046698113	"JH15.68"	"17"	"RHIZO"	"B124.BARKE"	"JH15"
"7.24"	"Chitinophagales"	"JH15.68"	0.043584906	"JH15.68"	"17"	"RHIZO"	"B124.BARKE"	"JH15"
"7.25"	"Streptomycetales"	"JH15.68"	0.065	"JH15.68"	"17"	"RHIZO"	"B124.BARKE"	"JH15"
"7.26"	"Xanthomonadales"	"JH15.68"	0.038396226	"JH15.68"	"17"	"RHIZO"	"B124.BARKE"	"JH15"
"7.27"	"Rhizobiales"	"JH15.68"	0.110566038	"JH15.68"	"17"	"RHIZO"	"B124.BARKE"	"JH15"
"7.28"	"Burkholderiales"	"JH15.68"	0.260849057	"JH15.68"	"17"	"RHIZO"	"B124.BARKE"	"JH15"
"23"	"<0.5%"	"JH15.69"	0.04490566	"JH15.69"	"Barke"	"RHIZO"	"BARKE"	"JH15"
"23.1"	"Frankiales"	"JH15.69"	0.006981132	"JH15.69"	"Barke"	"RHIZO"	"BARKE"	"JH15"
"23.2"	"Rokubacteriales"	"JH15.69"	0.000943396	"JH15.69"	"Barke"	"RHIZO"	"BARKE"	"JH15"
"23.3"	"Pyrinomonadales"	"JH15.69"	0.001886792	"JH15.69"	"Barke"	"RHIZO"	"BARKE"	"JH15"
"23.4"	"Acidobacteriales"	"JH15.69"	0.013679245	"JH15.69"	"Barke"	"RHIZO"	"BARKE"	"JH15"
"23.5"	"Subgroup_7"	"JH15.69"	0.001886792	"JH15.69"	"Barke"	"RHIZO"	"BARKE"	"JH15"
"23.6"	"Pseudomonadales"	"JH15.69"	0.009339623	"JH15.69"	"Barke"	"RHIZO"	"BARKE"	"JH15"
"23.7"	"Solirubrobacterales"	"JH15.69"	0.010754717	"JH15.69"	"Barke"	"RHIZO"	"BARKE"	"JH15"
"23.8"	"Pseudonocardiales"	"JH15.69"	0.016792453	"JH15.69"	"Barke"	"RHIZO"	"BARKE"	"JH15"
"23.9"	"Tepidisphaerales"	"JH15.69"	0.013584906	"JH15.69"	"Barke"	"RHIZO"	"BARKE"	"JH15"
"23.10"	"Caulobacterales"	"JH15.69"	0.005660377	"JH15.69"	"Barke"	"RHIZO"	"BARKE"	"JH15"
"23.11"	"Nitrososphaerales"	"JH15.69"	0.004433962	"JH15.69"	"Barke"	"RHIZO"	"BARKE"	"JH15"
"23.12"	"Micropepsales"	"JH15.69"	0.034339623	"JH15.69"	"Barke"	"RHIZO"	"BARKE"	"JH15"
"23.13"	"Gaiellales"	"JH15.69"	0.01490566	"JH15.69"	"Barke"	"RHIZO"	"BARKE"	"JH15"
"23.14"	"Paenibacillales"	"JH15.69"	0.005849057	"JH15.69"	"Barke"	"RHIZO"	"BARKE"	"JH15"
"23.15"	"Pedosphaerales"	"JH15.69"	0.015943396	"JH15.69"	"Barke"	"RHIZO"	"BARKE"	"JH15"
"23.16"	"Gemmatimonadales"	"JH15.69"	0.01509434	"JH15.69"	"Barke"	"RHIZO"	"BARKE"	"JH15"
"23.17"	"Chthoniobacterales"	"JH15.69"	0.010943396	"JH15.69"	"Barke"	"RHIZO"	"BARKE"	"JH15"
"23.18"	"Vicinamibacterales"	"JH15.69"	0.00509434	"JH15.69"	"Barke"	"RHIZO"	"BARKE"	"JH15"
"23.19"	"Propionibacteriales"	"JH15.69"	0.045849057	"JH15.69"	"Barke"	"RHIZO"	"BARKE"	"JH15"
"23.20"	"Micrococcales"	"JH15.69"	0.03254717	"JH15.69"	"Barke"	"RHIZO"	"BARKE"	"JH15"
"23.21"	"Glycomycetales"	"JH15.69"	0.013490566	"JH15.69"	"Barke"	"RHIZO"	"BARKE"	"JH15"
"23.22"	"Sphingobacteriales"	"JH15.69"	0.084433962	"JH15.69"	"Barke"	"RHIZO"	"BARKE"	"JH15"
"23.23"	"Sphingomonadales"	"JH15.69"	0.057264151	"JH15.69"	"Barke"	"RHIZO"	"BARKE"	"JH15"
"23.24"	"Chitinophagales"	"JH15.69"	0.048962264	"JH15.69"	"Barke"	"RHIZO"	"BARKE"	"JH15"
"23.25"	"Streptomycetales"	"JH15.69"	0.053867925	"JH15.69"	"Barke"	"RHIZO"	"BARKE"	"JH15"
"23.26"	"Xanthomonadales"	"JH15.69"	0.057264151	"JH15.69"	"Barke"	"RHIZO"	"BARKE"	"JH15"
"23.27"	"Rhizobiales"	"JH15.69"	0.066509434	"JH15.69"	"Barke"	"RHIZO"	"BARKE"	"JH15"
"23.28"	"Burkholderiales"	"JH15.69"	0.284528302	"JH15.69"	"Barke"	"RHIZO"	"BARKE"	"JH15"
"1"	"<0.5%"	"JH15.7"	0.044056604	"JH15.7"	"17"	"RHIZO"	"B124.BARKE"	"JH15"
"1.1"	"Frankiales"	"JH15.7"	0.010188679	"JH15.7"	"17"	"RHIZO"	"B124.BARKE"	"JH15"
"1.2"	"Rokubacteriales"	"JH15.7"	0.001981132	"JH15.7"	"17"	"RHIZO"	"B124.BARKE"	"JH15"
"1.3"	"Pyrinomonadales"	"JH15.7"	0.00245283	"JH15.7"	"17"	"RHIZO"	"B124.BARKE"	"JH15"
"1.4"	"Acidobacteriales"	"JH15.7"	0.00745283	"JH15.7"	"17"	"RHIZO"	"B124.BARKE"	"JH15"
"1.5"	"Subgroup_7"	"JH15.7"	0.002924528	"JH15.7"	"17"	"RHIZO"	"B124.BARKE"	"JH15"
"1.6"	"Pseudomonadales"	"JH15.7"	0.001037736	"JH15.7"	"17"	"RHIZO"	"B124.BARKE"	"JH15"
"1.7"	"Solirubrobacterales"	"JH15.7"	0.015849057	"JH15.7"	"17"	"RHIZO"	"B124.BARKE"	"JH15"
"1.8"	"Pseudonocardiales"	"JH15.7"	0.024433962	"JH15.7"	"17"	"RHIZO"	"B124.BARKE"	"JH15"
"1.9"	"Tepidisphaerales"	"JH15.7"	0.016132075	"JH15.7"	"17"	"RHIZO"	"B124.BARKE"	"JH15"
"1.10"	"Caulobacterales"	"JH15.7"	0.010943396	"JH15.7"	"17"	"RHIZO"	"B124.BARKE"	"JH15"
"1.11"	"Nitrososphaerales"	"JH15.7"	0.004433962	"JH15.7"	"17"	"RHIZO"	"B124.BARKE"	"JH15"
"1.12"	"Micropepsales"	"JH15.7"	0.026226415	"JH15.7"	"17"	"RHIZO"	"B124.BARKE"	"JH15"
"1.13"	"Gaiellales"	"JH15.7"	0.020471698	"JH15.7"	"17"	"RHIZO"	"B124.BARKE"	"JH15"
"1.14"	"Paenibacillales"	"JH15.7"	0.010283019	"JH15.7"	"17"	"RHIZO"	"B124.BARKE"	"JH15"
"1.15"	"Pedosphaerales"	"JH15.7"	0.010471698	"JH15.7"	"17"	"RHIZO"	"B124.BARKE"	"JH15"
"1.16"	"Gemmatimonadales"	"JH15.7"	0.019150943	"JH15.7"	"17"	"RHIZO"	"B124.BARKE"	"JH15"
"1.17"	"Chthoniobacterales"	"JH15.7"	0.012735849	"JH15.7"	"17"	"RHIZO"	"B124.BARKE"	"JH15"
"1.18"	"Vicinamibacterales"	"JH15.7"	0.008018868	"JH15.7"	"17"	"RHIZO"	"B124.BARKE"	"JH15"
"1.19"	"Propionibacteriales"	"JH15.7"	0.046226415	"JH15.7"	"17"	"RHIZO"	"B124.BARKE"	"JH15"
"1.20"	"Micrococcales"	"JH15.7"	0.039245283	"JH15.7"	"17"	"RHIZO"	"B124.BARKE"	"JH15"
"1.21"	"Glycomycetales"	"JH15.7"	0.021698113	"JH15.7"	"17"	"RHIZO"	"B124.BARKE"	"JH15"
"1.22"	"Sphingobacteriales"	"JH15.7"	0.046509434	"JH15.7"	"17"	"RHIZO"	"B124.BARKE"	"JH15"
"1.23"	"Sphingomonadales"	"JH15.7"	0.051320755	"JH15.7"	"17"	"RHIZO"	"B124.BARKE"	"JH15"
"1.24"	"Chitinophagales"	"JH15.7"	0.034528302	"JH15.7"	"17"	"RHIZO"	"B124.BARKE"	"JH15"
"1.25"	"Streptomycetales"	"JH15.7"	0.066320755	"JH15.7"	"17"	"RHIZO"	"B124.BARKE"	"JH15"
"1.26"	"Xanthomonadales"	"JH15.7"	0.033962264	"JH15.7"	"17"	"RHIZO"	"B124.BARKE"	"JH15"
"1.27"	"Rhizobiales"	"JH15.7"	0.082830189	"JH15.7"	"17"	"RHIZO"	"B124.BARKE"	"JH15"
"1.28"	"Burkholderiales"	"JH15.7"	0.298113208	"JH15.7"	"17"	"RHIZO"	"B124.BARKE"	"JH15"
"8"	"<0.5%"	"JH15.71"	0.051132075	"JH15.71"	"17"	"RHIZO"	"B124.BARKE"	"JH15"
"8.1"	"Frankiales"	"JH15.71"	0.004811321	"JH15.71"	"17"	"RHIZO"	"B124.BARKE"	"JH15"
"8.2"	"Rokubacteriales"	"JH15.71"	0.001603774	"JH15.71"	"17"	"RHIZO"	"B124.BARKE"	"JH15"
"8.3"	"Pyrinomonadales"	"JH15.71"	0.003018868	"JH15.71"	"17"	"RHIZO"	"B124.BARKE"	"JH15"
"8.4"	"Acidobacteriales"	"JH15.71"	0.011509434	"JH15.71"	"17"	"RHIZO"	"B124.BARKE"	"JH15"
"8.5"	"Subgroup_7"	"JH15.71"	0.003679245	"JH15.71"	"17"	"RHIZO"	"B124.BARKE"	"JH15"
"8.6"	"Pseudomonadales"	"JH15.71"	0.018113208	"JH15.71"	"17"	"RHIZO"	"B124.BARKE"	"JH15"
"8.7"	"Solirubrobacterales"	"JH15.71"	0.007075472	"JH15.71"	"17"	"RHIZO"	"B124.BARKE"	"JH15"
"8.8"	"Pseudonocardiales"	"JH15.71"	0.006981132	"JH15.71"	"17"	"RHIZO"	"B124.BARKE"	"JH15"
"8.9"	"Tepidisphaerales"	"JH15.71"	0.014622642	"JH15.71"	"17"	"RHIZO"	"B124.BARKE"	"JH15"
"8.10"	"Caulobacterales"	"JH15.71"	0.009716981	"JH15.71"	"17"	"RHIZO"	"B124.BARKE"	"JH15"
"8.11"	"Nitrososphaerales"	"JH15.71"	0.003301887	"JH15.71"	"17"	"RHIZO"	"B124.BARKE"	"JH15"
"8.12"	"Micropepsales"	"JH15.71"	0.030660377	"JH15.71"	"17"	"RHIZO"	"B124.BARKE"	"JH15"
"8.13"	"Gaiellales"	"JH15.71"	0.011226415	"JH15.71"	"17"	"RHIZO"	"B124.BARKE"	"JH15"
"8.14"	"Paenibacillales"	"JH15.71"	0.005754717	"JH15.71"	"17"	"RHIZO"	"B124.BARKE"	"JH15"
"8.15"	"Pedosphaerales"	"JH15.71"	0.035	"JH15.71"	"17"	"RHIZO"	"B124.BARKE"	"JH15"
"8.16"	"Gemmatimonadales"	"JH15.71"	0.014433962	"JH15.71"	"17"	"RHIZO"	"B124.BARKE"	"JH15"
"8.17"	"Chthoniobacterales"	"JH15.71"	0.016509434	"JH15.71"	"17"	"RHIZO"	"B124.BARKE"	"JH15"
"8.18"	"Vicinamibacterales"	"JH15.71"	0.011226415	"JH15.71"	"17"	"RHIZO"	"B124.BARKE"	"JH15"
"8.19"	"Propionibacteriales"	"JH15.71"	0.026132075	"JH15.71"	"17"	"RHIZO"	"B124.BARKE"	"JH15"
"8.20"	"Micrococcales"	"JH15.71"	0.030660377	"JH15.71"	"17"	"RHIZO"	"B124.BARKE"	"JH15"
"8.21"	"Glycomycetales"	"JH15.71"	0.000377358	"JH15.71"	"17"	"RHIZO"	"B124.BARKE"	"JH15"
"8.22"	"Sphingobacteriales"	"JH15.71"	0.090566038	"JH15.71"	"17"	"RHIZO"	"B124.BARKE"	"JH15"
"8.23"	"Sphingomonadales"	"JH15.71"	0.044245283	"JH15.71"	"17"	"RHIZO"	"B124.BARKE"	"JH15"
"8.24"	"Chitinophagales"	"JH15.71"	0.062358491	"JH15.71"	"17"	"RHIZO"	"B124.BARKE"	"JH15"
"8.25"	"Streptomycetales"	"JH15.71"	0.020377358	"JH15.71"	"17"	"RHIZO"	"B124.BARKE"	"JH15"
"8.26"	"Xanthomonadales"	"JH15.71"	0.040471698	"JH15.71"	"17"	"RHIZO"	"B124.BARKE"	"JH15"
"8.27"	"Rhizobiales"	"JH15.71"	0.140849057	"JH15.71"	"17"	"RHIZO"	"B124.BARKE"	"JH15"
"8.28"	"Burkholderiales"	"JH15.71"	0.246886792	"JH15.71"	"17"	"RHIZO"	"B124.BARKE"	"JH15"
"24"	"<0.5%"	"JH15.72"	0.043396226	"JH15.72"	"Barke"	"RHIZO"	"BARKE"	"JH15"
"24.1"	"Frankiales"	"JH15.72"	0.011886792	"JH15.72"	"Barke"	"RHIZO"	"BARKE"	"JH15"
"24.2"	"Rokubacteriales"	"JH15.72"	0.001981132	"JH15.72"	"Barke"	"RHIZO"	"BARKE"	"JH15"
"24.3"	"Pyrinomonadales"	"JH15.72"	0.001603774	"JH15.72"	"Barke"	"RHIZO"	"BARKE"	"JH15"
"24.4"	"Acidobacteriales"	"JH15.72"	0.014150943	"JH15.72"	"Barke"	"RHIZO"	"BARKE"	"JH15"
"24.5"	"Subgroup_7"	"JH15.72"	0.001886792	"JH15.72"	"Barke"	"RHIZO"	"BARKE"	"JH15"
"24.6"	"Pseudomonadales"	"JH15.72"	0.001320755	"JH15.72"	"Barke"	"RHIZO"	"BARKE"	"JH15"
"24.7"	"Solirubrobacterales"	"JH15.72"	0.01490566	"JH15.72"	"Barke"	"RHIZO"	"BARKE"	"JH15"
"24.8"	"Pseudonocardiales"	"JH15.72"	0.023584906	"JH15.72"	"Barke"	"RHIZO"	"BARKE"	"JH15"
"24.9"	"Tepidisphaerales"	"JH15.72"	0.009433962	"JH15.72"	"Barke"	"RHIZO"	"BARKE"	"JH15"
"24.10"	"Caulobacterales"	"JH15.72"	0.006981132	"JH15.72"	"Barke"	"RHIZO"	"BARKE"	"JH15"
"24.11"	"Nitrososphaerales"	"JH15.72"	0.002075472	"JH15.72"	"Barke"	"RHIZO"	"BARKE"	"JH15"
"24.12"	"Micropepsales"	"JH15.72"	0.036509434	"JH15.72"	"Barke"	"RHIZO"	"BARKE"	"JH15"
"24.13"	"Gaiellales"	"JH15.72"	0.01990566	"JH15.72"	"Barke"	"RHIZO"	"BARKE"	"JH15"
"24.14"	"Paenibacillales"	"JH15.72"	0.008207547	"JH15.72"	"Barke"	"RHIZO"	"BARKE"	"JH15"
"24.15"	"Pedosphaerales"	"JH15.72"	0.018396226	"JH15.72"	"Barke"	"RHIZO"	"BARKE"	"JH15"
"24.16"	"Gemmatimonadales"	"JH15.72"	0.02490566	"JH15.72"	"Barke"	"RHIZO"	"BARKE"	"JH15"
"24.17"	"Chthoniobacterales"	"JH15.72"	0.01	"JH15.72"	"Barke"	"RHIZO"	"BARKE"	"JH15"
"24.18"	"Vicinamibacterales"	"JH15.72"	0.006886792	"JH15.72"	"Barke"	"RHIZO"	"BARKE"	"JH15"
"24.19"	"Propionibacteriales"	"JH15.72"	0.054716981	"JH15.72"	"Barke"	"RHIZO"	"BARKE"	"JH15"
"24.20"	"Micrococcales"	"JH15.72"	0.050754717	"JH15.72"	"Barke"	"RHIZO"	"BARKE"	"JH15"
"24.21"	"Glycomycetales"	"JH15.72"	0.009622642	"JH15.72"	"Barke"	"RHIZO"	"BARKE"	"JH15"
"24.22"	"Sphingobacteriales"	"JH15.72"	0.036981132	"JH15.72"	"Barke"	"RHIZO"	"BARKE"	"JH15"
"24.23"	"Sphingomonadales"	"JH15.72"	0.045	"JH15.72"	"Barke"	"RHIZO"	"BARKE"	"JH15"
"24.24"	"Chitinophagales"	"JH15.72"	0.034528302	"JH15.72"	"Barke"	"RHIZO"	"BARKE"	"JH15"
"24.25"	"Streptomycetales"	"JH15.72"	0.081603774	"JH15.72"	"Barke"	"RHIZO"	"BARKE"	"JH15"
"24.26"	"Xanthomonadales"	"JH15.72"	0.033396226	"JH15.72"	"Barke"	"RHIZO"	"BARKE"	"JH15"
"24.27"	"Rhizobiales"	"JH15.72"	0.083584906	"JH15.72"	"Barke"	"RHIZO"	"BARKE"	"JH15"
"24.28"	"Burkholderiales"	"JH15.72"	0.279056604	"JH15.72"	"Barke"	"RHIZO"	"BARKE"	"JH15"
"41"	"<0.5%"	"JH15.77"	0.124811321	"JH15.77"	"Bulk"	" BULK"	"BULK"	"JH15"
"41.1"	"Frankiales"	"JH15.77"	0.007924528	"JH15.77"	"Bulk"	" BULK"	"BULK"	"JH15"
"41.2"	"Rokubacteriales"	"JH15.77"	0.008773585	"JH15.77"	"Bulk"	" BULK"	"BULK"	"JH15"
"41.3"	"Pyrinomonadales"	"JH15.77"	0.007641509	"JH15.77"	"Bulk"	" BULK"	"BULK"	"JH15"
"41.4"	"Acidobacteriales"	"JH15.77"	0.03	"JH15.77"	"Bulk"	" BULK"	"BULK"	"JH15"
"41.5"	"Subgroup_7"	"JH15.77"	0.011886792	"JH15.77"	"Bulk"	" BULK"	"BULK"	"JH15"
"41.6"	"Pseudomonadales"	"JH15.77"	0	"JH15.77"	"Bulk"	" BULK"	"BULK"	"JH15"
"41.7"	"Solirubrobacterales"	"JH15.77"	0.026886792	"JH15.77"	"Bulk"	" BULK"	"BULK"	"JH15"
"41.8"	"Pseudonocardiales"	"JH15.77"	0.000849057	"JH15.77"	"Bulk"	" BULK"	"BULK"	"JH15"
"41.9"	"Tepidisphaerales"	"JH15.77"	0.029528302	"JH15.77"	"Bulk"	" BULK"	"BULK"	"JH15"
"41.10"	"Caulobacterales"	"JH15.77"	0.018584906	"JH15.77"	"Bulk"	" BULK"	"BULK"	"JH15"
"41.11"	"Nitrososphaerales"	"JH15.77"	0.016132075	"JH15.77"	"Bulk"	" BULK"	"BULK"	"JH15"
"41.12"	"Micropepsales"	"JH15.77"	0.038584906	"JH15.77"	"Bulk"	" BULK"	"BULK"	"JH15"
"41.13"	"Gaiellales"	"JH15.77"	0.045471698	"JH15.77"	"Bulk"	" BULK"	"BULK"	"JH15"
"41.14"	"Paenibacillales"	"JH15.77"	0.004245283	"JH15.77"	"Bulk"	" BULK"	"BULK"	"JH15"
"41.15"	"Pedosphaerales"	"JH15.77"	0.051132075	"JH15.77"	"Bulk"	" BULK"	"BULK"	"JH15"
"41.16"	"Gemmatimonadales"	"JH15.77"	0.068773585	"JH15.77"	"Bulk"	" BULK"	"BULK"	"JH15"
"41.17"	"Chthoniobacterales"	"JH15.77"	0.046037736	"JH15.77"	"Bulk"	" BULK"	"BULK"	"JH15"
"41.18"	"Vicinamibacterales"	"JH15.77"	0.037264151	"JH15.77"	"Bulk"	" BULK"	"BULK"	"JH15"
"41.19"	"Propionibacteriales"	"JH15.77"	0.011415094	"JH15.77"	"Bulk"	" BULK"	"BULK"	"JH15"
"41.20"	"Micrococcales"	"JH15.77"	0.012641509	"JH15.77"	"Bulk"	" BULK"	"BULK"	"JH15"
"41.21"	"Glycomycetales"	"JH15.77"	9.43e-05	"JH15.77"	"Bulk"	" BULK"	"BULK"	"JH15"
"41.22"	"Sphingobacteriales"	"JH15.77"	0.032264151	"JH15.77"	"Bulk"	" BULK"	"BULK"	"JH15"
"41.23"	"Sphingomonadales"	"JH15.77"	0.020566038	"JH15.77"	"Bulk"	" BULK"	"BULK"	"JH15"
"41.24"	"Chitinophagales"	"JH15.77"	0.039245283	"JH15.77"	"Bulk"	" BULK"	"BULK"	"JH15"
"41.25"	"Streptomycetales"	"JH15.77"	0.003490566	"JH15.77"	"Bulk"	" BULK"	"BULK"	"JH15"
"41.26"	"Xanthomonadales"	"JH15.77"	0.021981132	"JH15.77"	"Bulk"	" BULK"	"BULK"	"JH15"
"41.27"	"Rhizobiales"	"JH15.77"	0.053301887	"JH15.77"	"Bulk"	" BULK"	"BULK"	"JH15"
"41.28"	"Burkholderiales"	"JH15.77"	0.045660377	"JH15.77"	"Bulk"	" BULK"	"BULK"	"JH15"
"42"	"<0.5%"	"JH15.79"	0.12509434	"JH15.79"	"Bulk"	" BULK"	"BULK"	"JH15"
"42.1"	"Frankiales"	"JH15.79"	0.007830189	"JH15.79"	"Bulk"	" BULK"	"BULK"	"JH15"
"42.2"	"Rokubacteriales"	"JH15.79"	0.004245283	"JH15.79"	"Bulk"	" BULK"	"BULK"	"JH15"
"42.3"	"Pyrinomonadales"	"JH15.79"	0.006509434	"JH15.79"	"Bulk"	" BULK"	"BULK"	"JH15"
"42.4"	"Acidobacteriales"	"JH15.79"	0.062169811	"JH15.79"	"Bulk"	" BULK"	"BULK"	"JH15"
"42.5"	"Subgroup_7"	"JH15.79"	0.009150943	"JH15.79"	"Bulk"	" BULK"	"BULK"	"JH15"
"42.6"	"Pseudomonadales"	"JH15.79"	9.43e-05	"JH15.79"	"Bulk"	" BULK"	"BULK"	"JH15"
"42.7"	"Solirubrobacterales"	"JH15.79"	0.026509434	"JH15.79"	"Bulk"	" BULK"	"BULK"	"JH15"
"42.8"	"Pseudonocardiales"	"JH15.79"	0.000471698	"JH15.79"	"Bulk"	" BULK"	"BULK"	"JH15"
"42.9"	"Tepidisphaerales"	"JH15.79"	0.023962264	"JH15.79"	"Bulk"	" BULK"	"BULK"	"JH15"
"42.10"	"Caulobacterales"	"JH15.79"	0.037735849	"JH15.79"	"Bulk"	" BULK"	"BULK"	"JH15"
"42.11"	"Nitrososphaerales"	"JH15.79"	0.015283019	"JH15.79"	"Bulk"	" BULK"	"BULK"	"JH15"
"42.12"	"Micropepsales"	"JH15.79"	0.041037736	"JH15.79"	"Bulk"	" BULK"	"BULK"	"JH15"
"42.13"	"Gaiellales"	"JH15.79"	0.046132075	"JH15.79"	"Bulk"	" BULK"	"BULK"	"JH15"
"42.14"	"Paenibacillales"	"JH15.79"	0.003867925	"JH15.79"	"Bulk"	" BULK"	"BULK"	"JH15"
